hex,sign_name,period,code,total_wedges
0x12282,PI TIMES BI,Neo Assyrian,a1b3c2w2,8
0x12009,A2,Neo Assyrian,a1b4c4,9
0x1200a,AB,Neo Assyrian,a1b4,5
0x1201c,AD,Neo Assyrian,a1b5,6
0x1207a,DU,Neo Assyrian,a1b3w1,5
0x1207d,DU SHESHIG,Neo Assyrian,a1b3c4w1,9
0x120f2,GAL,Neo Assyrian,a1b4,5
0x120fe,GESHTIN,Neo Assyrian,a1b3w2,6
0x120ff,GESHTIN TIMES KUR,Neo Assyrian,a1b3c3w2,9
0x1214a,IGI GUNU,Neo Assyrian,a1b5w1,7
0x12034,ARAD,Neo Assyrian,a1b4,5
0x12033,APIN,Neo Assyrian,a1b5,6
0x12035,ARAD TIMES KUR,Neo Assyrian,a1b4c3,8
0x12110,GISAL,Neo Assyrian,a1b4w2,7
0x121b7,LA,Neo Assyrian,a1b4,5
0x12122,GUL,Neo Assyrian,a1b4w2,7
0x1228c,PIRIG TIMES UD,Neo Assyrian,a1b4c4,9
0x12453,FOUR BAN2 VARIANT FORM,Neo Assyrian,a1b3w1,5
0x12455,FIVE BAN2 VARIANT FORM,Neo Assyrian,a1b3w2,6
0x12113,GISH TIMES BAD,Neo Assyrian,a1b3w1,5
0x12248,NE,Neo Assyrian,a1b4c4,9
0x122d7,SHU,Neo Assyrian,a1b4,5
0x12309,TUR,Neo Assyrian,a1b5,6
,ASZ2,Old Assyrian,a1b5,6
,BANESZ,Old Assyrian,a1b4,5
0x122d7,SHU,Old Assyrian,a1b5,6
0x121a6,KISAL,Akkadian,a1b4,5
,SIG7,Akkadian,a1b5w1,7
0x1203e,ASH2,Akkadian,a1b4,5
0x12248,NE,Akkadian,a1b4c4,9
0x122d7,SHU,Akkadian,a1b5,6
0x120f2,GAL,Akkadian,a1b5,6
0x12455,five BAN2 variant form,Akkadian,a1b5,6
0x12452,four BAN2,Akkadian,a1b3w1,5
0x121b7,LA,Neo-Babylonian,a1b5,6
,GAL Variant Form,Neo-Babylonian,a1b5,6
0x120f2,GAL,Neo-Babylonian,a1b5,6
,GURUN Variant Form,Neo-Babylonian,a1b4w2,7
0x120f2,GAL,Old Babylonian,a1b5,6
0x121b7,LA,Old Babylonian,a1b5,6
0x1212c,HAL,Old Babylonian,a1b4,5
0x121ef,LAGAR GUNU,Old Babylonian,a1b4,5
0x122ad,SHA,Old Babylonian,a1b4w2,7
0x122d7,SHU,Old Babylonian,a1b4,5
0x122da,SHUBUR,Old Babylonian,a1b4w2,7
0x1201c,AD,Old Babylonian,a1b5,6
0x1206e,DAM,Old Babylonian,a1b4w2,7
0x1207a,DU,Old Babylonian,a1b3w1,5
0x1207e,DUB,Old Babylonian,a1b4,5
0x1231d,UM,Old Babylonian,a1b4,5
0x12033,APIN,Old Babylonian,a1b4,5
0x12055,DA,Old Babylonian,a1b5w1,7
0x122d7,SHU,Neo-Babylonian,a1b4,5
0x12122,GUL,Old Babylonian,a1b5w1,7
0x1200a,AB,Neo-Babylonian,a1b4,5
0x1207a,DU,Neo-Babylonian,a1b3w1,5
0x12342,URU TIMES IGI,Old Babylonian,a1b5w1,7
0x120a0,ESH2,Old Babylonian,a1b5,6
0x120f2,GAL,Old Babylonian,a1b5,6
0x121a6,KISAL,Old Babylonian,a1b4,5
,SHU variant,Old Babylonian,a1b5,6
