face,line_no,target,sign,prototype,face_overlay,line_overlay
CBS.1601__reverse,14,CBS.1601__reverse__L14__S04__0x1228f.png,RA,RA,output/phase6_OB/overlays/faces/CBS.1601__reverse.jpg,output/phase6_OB/overlays/lines/CBS.1601__reverse__L14.jpg
CBS.1601__reverse,11,CBS.1601__reverse__L11__S11__0x12248.png,NE,NE,output/phase6_OB/overlays/faces/CBS.1601__reverse.jpg,output/phase6_OB/overlays/lines/CBS.1601__reverse__L11.jpg
CBS.1601__reverse,5,CBS.1601__reverse__L05__S04__0x121fd.png,LU₂,LU2,output/phase6_OB/overlays/faces/CBS.1601__reverse.jpg,output/phase6_OB/overlays/lines/CBS.1601__reverse__L05.jpg
CBS.1601__reverse,15,CBS.1601__reverse__L15__S09__0x1207a.png,DU,DU,output/phase6_OB/overlays/faces/CBS.1601__reverse.jpg,output/phase6_OB/overlays/lines/CBS.1601__reverse__L15.jpg
CBS.112__obverse,8,CBS.112__obverse__L08__S05__0x12020.png,AL,AL,output/phase6_OB/overlays/faces/CBS.112__obverse.jpg,output/phase6_OB/overlays/lines/CBS.112__obverse__L08.jpg
CBS.1596__obverse,8,CBS.1596__obverse__L08__S09__0x1222c.png,MU,MU,output/phase6_OB/overlays/faces/CBS.1596__obverse.jpg,output/phase6_OB/overlays/lines/CBS.1596__obverse__L08.jpg
CBS.112__reverse,5,CBS.112__reverse__L05__S02__0x12309.png,TUR,TUR,output/phase6_OB/overlays/faces/CBS.112__reverse.jpg,output/phase6_OB/overlays/lines/CBS.112__reverse__L05.jpg
CBS.112__reverse,3,CBS.112__reverse__L03__S05__0x122e2.png,SU,SU OVER SU,output/phase6_OB/overlays/faces/CBS.112__reverse.jpg,output/phase6_OB/overlays/lines/CBS.112__reverse__L03.jpg
BM.109168__obverse,23,BM.109168__obverse__L23__S09__0x12100.png,GI,GI,output/phase6_OB/overlays/faces/BM.109168__obverse.jpg,output/phase6_OB/overlays/lines/BM.109168__obverse__L23.jpg
BM.42263__reverse,2,BM.42263__reverse__L02__S04__0x1202d.png,AN,AN,output/phase6_OB/overlays/faces/BM.42263__reverse.jpg,output/phase6_OB/overlays/lines/BM.42263__reverse__L02.jpg
CBS.1384__obverse,16,CBS.1384__obverse__L16__S02__0x12157.png,KA,KA,output/phase6_OB/overlays/faces/CBS.1384__obverse.jpg,output/phase6_OB/overlays/lines/CBS.1384__obverse__L16.jpg
CBS.1384__obverse,11,CBS.1384__obverse__L11__S06__0x1228f.png,RA,RA,output/phase6_OB/overlays/faces/CBS.1384__obverse.jpg,output/phase6_OB/overlays/lines/CBS.1384__obverse__L11.jpg
CBS.1384__obverse,8,CBS.1384__obverse__L08__S07__0x122fc.png,TE,TE,output/phase6_OB/overlays/faces/CBS.1384__obverse.jpg,output/phase6_OB/overlays/lines/CBS.1384__obverse__L08.jpg
CBS.1384__obverse,15,CBS.1384__obverse__L15__S04__0x12145.png,IG,IG,output/phase6_OB/overlays/faces/CBS.1384__obverse.jpg,output/phase6_OB/overlays/lines/CBS.1384__obverse__L15.jpg
CBS.1384__obverse,7,CBS.1384__obverse__L07__S04__0x12291.png,RI,RI,output/phase6_OB/overlays/faces/CBS.1384__obverse.jpg,output/phase6_OB/overlays/lines/CBS.1384__obverse__L07.jpg
CBS.1601__obverse,5,CBS.1601__obverse__L05__S06__0x1228f.png,RA,RA,output/phase6_OB/overlays/faces/CBS.1601__obverse.jpg,output/phase6_OB/overlays/lines/CBS.1601__obverse__L05.jpg
CBS.1601__obverse,9,CBS.1601__obverse__L09__S06__0x12000.png,A,A,output/phase6_OB/overlays/faces/CBS.1601__obverse.jpg,output/phase6_OB/overlays/lines/CBS.1601__obverse__L09.jpg
BM.42266__obverse,4,BM.42266__obverse__L04__S04__0x1213f.png,I,I,output/phase6_OB/overlays/faces/BM.42266__obverse.jpg,output/phase6_OB/overlays/lines/BM.42266__obverse__L04.jpg
BM.42266__obverse,5,BM.42266__obverse__L05__S05__0x1213f.png,I,I,output/phase6_OB/overlays/faces/BM.42266__obverse.jpg,output/phase6_OB/overlays/lines/BM.42266__obverse__L05.jpg
BM.48430__reverse,4,BM.48430__reverse__L04__S04__0x1221d.png,LUM,LUM,output/phase6_OB/overlays/faces/BM.48430__reverse.jpg,output/phase6_OB/overlays/lines/BM.48430__reverse__L04.jpg
CBS.1554__obverse,2,CBS.1554__obverse__L02__S09__0x121fb.png,LU,LU,output/phase6_OB/overlays/faces/CBS.1554__obverse.jpg,output/phase6_OB/overlays/lines/CBS.1554__obverse__L02.jpg
CBS.1554__obverse,10,CBS.1554__obverse__L10__S13__0x12000.png,A,A,output/phase6_OB/overlays/faces/CBS.1554__obverse.jpg,output/phase6_OB/overlays/lines/CBS.1554__obverse__L10.jpg
CBS.1554__obverse,6,CBS.1554__obverse__L06__S10__0x12000.png,A,A,output/phase6_OB/overlays/faces/CBS.1554__obverse.jpg,output/phase6_OB/overlays/lines/CBS.1554__obverse__L06.jpg
BM.42260__obverse,4,BM.42260__obverse__L04__S09__0x1223e.png,NA,NAA,output/phase6_OB/overlays/faces/BM.42260__obverse.jpg,output/phase6_OB/overlays/lines/BM.42260__obverse__L04.jpg
BM.33161__obverse__tablet,1,BM.33161__obverse__tablet__L01__S01__0x12079.png,DIŠ,DISH,output/phase6_OB/overlays/faces/BM.33161__obverse__tablet.jpg,output/phase6_OB/overlays/lines/BM.33161__obverse__tablet__L01.jpg
BM.33161__obverse__tablet,1,BM.33161__obverse__tablet__L01__S02__0x12226.png,MAŠ,MASH,output/phase6_OB/overlays/faces/BM.33161__obverse__tablet.jpg,output/phase6_OB/overlays/lines/BM.33161__obverse__tablet__L01.jpg
BM.33161__obverse__tablet,3,BM.33161__obverse__tablet__L03__S03__0x121ac.png,KU₃,KU3,output/phase6_OB/overlays/faces/BM.33161__obverse__tablet.jpg,output/phase6_OB/overlays/lines/BM.33161__obverse__tablet__L03.jpg
BM.42264__reverse,2,BM.42264__reverse__L02__S04__0x1202d.png,AN,AN,output/phase6_OB/overlays/faces/BM.42264__reverse.jpg,output/phase6_OB/overlays/lines/BM.42264__reverse__L02.jpg
CBS.156__reverse,7,CBS.156__reverse__L07__S02__0x1213f.png,I,I,output/phase6_OB/overlays/faces/CBS.156__reverse.jpg,output/phase6_OB/overlays/lines/CBS.156__reverse__L07.jpg
BM.131470__obverse,7,BM.131470__obverse__L07__S01__0x1230b.png,U,U,output/phase6_OB/overlays/faces/BM.131470__obverse.jpg,output/phase6_OB/overlays/lines/BM.131470__obverse__L07.jpg
BM.131470__obverse,7,BM.131470__obverse__L07__S06__0x122ad.png,ŠA,SHA,output/phase6_OB/overlays/faces/BM.131470__obverse.jpg,output/phase6_OB/overlays/lines/BM.131470__obverse__L07.jpg
BM.131470__obverse,2,BM.131470__obverse__L02__S03__0x1231d.png,UM,UM,output/phase6_OB/overlays/faces/BM.131470__obverse.jpg,output/phase6_OB/overlays/lines/BM.131470__obverse__L02.jpg
BM.131470__obverse,8,BM.131470__obverse__L08__S02__0x1223e.png,NA,NAA,output/phase6_OB/overlays/faces/BM.131470__obverse.jpg,output/phase6_OB/overlays/lines/BM.131470__obverse__L08.jpg
BM.42263__obverse,6,BM.42263__obverse__L06__S02__0x12146.png,IGI,IGI,output/phase6_OB/overlays/faces/BM.42263__obverse.jpg,output/phase6_OB/overlays/lines/BM.42263__obverse__L06.jpg
CBS.1384__reverse,8,CBS.1384__reverse__L08__S04__0x12047.png,BAR,BAR,output/phase6_OB/overlays/faces/CBS.1384__reverse.jpg,output/phase6_OB/overlays/lines/CBS.1384__reverse__L08.jpg
CBS.156__obverse,4,CBS.156__obverse__L04__S10__0x1222a.png,MI,MI,output/phase6_OB/overlays/faces/CBS.156__obverse.jpg,output/phase6_OB/overlays/lines/CBS.156__obverse__L04.jpg
CBS.156__obverse,7,CBS.156__obverse__L07__S06__0x122fe.png,TI,TI TENU,output/phase6_OB/overlays/faces/CBS.156__obverse.jpg,output/phase6_OB/overlays/lines/CBS.156__obverse__L07.jpg
CBS.156__obverse,2,CBS.156__obverse__L02__S03__0x1201d.png,AK,AK,output/phase6_OB/overlays/faces/CBS.156__obverse.jpg,output/phase6_OB/overlays/lines/CBS.156__obverse__L02.jpg
BM.43731__obverse,6,BM.43731__obverse__L06__S02__0x1206f.png,DAR,DAR,output/phase6_OB/overlays/faces/BM.43731__obverse.jpg,output/phase6_OB/overlays/lines/BM.43731__obverse__L06.jpg
CBS.1422__reverse,1,CBS.1422__reverse__L01__S04__0x12146.png,IGI,IGI,output/phase6_OB/overlays/faces/CBS.1422__reverse.jpg,output/phase6_OB/overlays/lines/CBS.1422__reverse__L01.jpg
