target,sign,prototype,init_score,finished
BM.109168__obverse__L23__S09__0x12100,GI,GI,0.595,True
BM.131470__obverse__L02__S03__0x1231d,UM,UM,0.595,True
BM.131470__obverse__L07__S01__0x1230b,U,U,0.391,True
BM.131470__obverse__L07__S06__0x122ad,ŠA,SHA,0.537,True
BM.131470__obverse__L08__S02__0x1223e,NA,NAA,0.488,True
BM.33161__obverse__tablet__L01__S01__0x12079,DIŠ,DISH,0.468,True
BM.33161__obverse__tablet__L01__S02__0x12226,MAŠ,MASH,0.644,True
BM.33161__obverse__tablet__L03__S03__0x121ac,KU₃,KU3,0.325,True
BM.42260__obverse__L04__S09__0x1223e,NA,NAA,0.488,True
BM.42263__obverse__L06__S02__0x12146,IGI,IGI,0.493,True
BM.42263__reverse__L02__S04__0x1202d,AN,AN,0.598,True
BM.42264__reverse__L02__S04__0x1202d,AN,AN,0.765,True
BM.42266__obverse__L04__S04__0x1213f,I,I,0.773,True
BM.42266__obverse__L05__S05__0x1213f,I,I,0.77,True
BM.43731__obverse__L06__S02__0x1206f,DAR,DAR,0.696,True
BM.48430__reverse__L04__S04__0x1221d,LUM,LUM,0.57,True
CBS.112__obverse__L08__S05__0x12020,AL,AL,0.739,True
CBS.112__reverse__L03__S05__0x122e2,SU,SU OVER SU,0.646,True
CBS.112__reverse__L05__S02__0x12309,TUR,TUR,0.6,True
CBS.1384__obverse__L07__S04__0x12291,RI,RI,0.629,True
CBS.1384__obverse__L08__S07__0x122fc,TE,TE,0.549,True
CBS.1384__obverse__L11__S06__0x1228f,RA,RA,0.839,True
CBS.1384__obverse__L15__S04__0x12145,IG,IG,0.676,True
CBS.1384__obverse__L16__S02__0x12157,KA,KA,0.327,True
CBS.1384__reverse__L08__S04__0x12047,BAR,BAR,0.553,True
CBS.1422__reverse__L01__S04__0x12146,IGI,IGI,0.576,True
CBS.1554__obverse__L02__S09__0x121fb,LU,LU,0.928,True
CBS.1554__obverse__L06__S10__0x12000,A,A,0.611,True
CBS.1554__obverse__L10__S13__0x12000,A,A,0.457,True
CBS.156__obverse__L02__S03__0x1201d,AK,AK,0.701,True
CBS.156__obverse__L04__S10__0x1222a,MI,MI,0.472,True
CBS.156__obverse__L07__S06__0x122fe,TI,TI TENU,0.691,True
CBS.156__reverse__L07__S02__0x1213f,I,I,0.665,True
CBS.1596__obverse__L08__S09__0x1222c,MU,MU,0.722,True
CBS.1601__obverse__L05__S06__0x1228f,RA,RA,0.446,True
CBS.1601__obverse__L09__S06__0x12000,A,A,0.647,True
CBS.1601__reverse__L05__S04__0x121fd,LU₂,LU2,0.52,True
CBS.1601__reverse__L11__S11__0x12248,NE,NE,0.493,True
CBS.1601__reverse__L14__S04__0x1228f,RA,RA,0.773,True
CBS.1601__reverse__L15__S09__0x1207a,DU,DU,0.544,True
