face,line_no,target,sign,prototype,face_overlay,line_overlay
HS.2371__obverse,5,HS.2371__obverse__L05__S01__0x1222b.png,MIN,MIN,output/phase6_OB_first/overlays/faces/HS.2371__obverse.jpg,output/phase6_OB_first/overlays/lines/HS.2371__obverse__L05.jpg
HS.2096__obverse,8,HS.2096__obverse__L08__S01__0x12000.png,A,A,output/phase6_OB_first/overlays/faces/HS.2096__obverse.jpg,output/phase6_OB_first/overlays/lines/HS.2096__obverse__L08.jpg
YBC.4234__obverse,1,YBC.4234__obverse__L01__S01__0x12038.png,AŠ,ASH,output/phase6_OB_first/overlays/faces/YBC.4234__obverse.jpg,output/phase6_OB_first/overlays/lines/YBC.4234__obverse__L01.jpg
YBC.4642__obverse,6,YBC.4642__obverse__L06__S01__0x12079.png,DIŠ,DISH,output/phase6_OB_first/overlays/faces/YBC.4642__obverse.jpg,output/phase6_OB_first/overlays/lines/YBC.4642__obverse__L06.jpg
BM.33161__obverse,1,BM.33161__obverse__L01__S01__0x12079.png,DIŠ,DISH,output/phase6_OB_first/overlays/faces/BM.33161__obverse.jpg,output/phase6_OB_first/overlays/lines/BM.33161__obverse__L01.jpg
HS.2022__obverse,2,HS.2022__obverse__L02__S01__0x12261.png,NU,NU,output/phase6_OB_first/overlays/faces/HS.2022__obverse.jpg,output/phase6_OB_first/overlays/lines/HS.2022__obverse__L02.jpg
YBC.5570__obverse__tablet,1,YBC.5570__obverse__tablet__L01__S01__0x1222b.png,MIN,MIN,output/phase6_OB_first/overlays/faces/YBC.5570__obverse__tablet.jpg,output/phase6_OB_first/overlays/lines/YBC.5570__obverse__tablet__L01.jpg
YBC.5692__obverse__tablet,1,YBC.5692__obverse__tablet__L01__S01__0x12079.png,DIŠ,DISH,output/phase6_OB_first/overlays/faces/YBC.5692__obverse__tablet.jpg,output/phase6_OB_first/overlays/lines/YBC.5692__obverse__tablet__L01.jpg
YBC.5056__reverse,2,YBC.5056__reverse__L02__S01__0x121fd.png,LU₂,LU2,output/phase6_OB_first/overlays/faces/YBC.5056__reverse.jpg,output/phase6_OB_first/overlays/lines/YBC.5056__reverse__L02.jpg
YBC.5148__reverse__envelope,5,YBC.5148__reverse__envelope__L05__S01__0x12146.png,IGI,IGI,output/phase6_OB_first/overlays/faces/YBC.5148__reverse__envelope.jpg,output/phase6_OB_first/overlays/lines/YBC.5148__reverse__envelope__L05.jpg
YBC.7794__reverse,1,YBC.7794__reverse__L01__S01__0x122eb.png,TA,TA,output/phase6_OB_first/overlays/faces/YBC.7794__reverse.jpg,output/phase6_OB_first/overlays/lines/YBC.7794__reverse__L01.jpg
YBC.5148__obverse,2,YBC.5148__obverse__L02__S01__0x122ad.png,ŠA,SHA,output/phase6_OB_first/overlays/faces/YBC.5148__obverse.jpg,output/phase6_OB_first/overlays/lines/YBC.5148__obverse__L02.jpg
YBC.5714__reverse,1,YBC.5714__reverse__L01__S01__0x12146.png,IGI,IGI,output/phase6_OB_first/overlays/faces/YBC.5714__reverse.jpg,output/phase6_OB_first/overlays/lines/YBC.5714__reverse__L01.jpg
YBC.5724__reverse,2,YBC.5724__reverse__L02__S01__0x12146.png,IGI,IGI,output/phase6_OB_first/overlays/faces/YBC.5724__reverse.jpg,output/phase6_OB_first/overlays/lines/YBC.5724__reverse__L02.jpg
YBC.7227__obverse,1,YBC.7227__obverse__L01__S01__0x1222b.png,MIN,MIN,output/phase6_OB_first/overlays/faces/YBC.7227__obverse.jpg,output/phase6_OB_first/overlays/lines/YBC.7227__obverse__L01.jpg
HS.2119__obverse__tablet,1,HS.2119__obverse__tablet__L01__S01__0x12079.png,DIŠ,DISH,output/phase6_OB_first/overlays/faces/HS.2119__obverse__tablet.jpg,output/phase6_OB_first/overlays/lines/HS.2119__obverse__tablet__L01.jpg
YBC.4277__obverse,2,YBC.4277__obverse__L02__S01__0x12111.png,GIŠ,GISH,output/phase6_OB_first/overlays/faces/YBC.4277__obverse.jpg,output/phase6_OB_first/overlays/lines/YBC.4277__obverse__L02.jpg
YBC.6147__obverse,2,YBC.6147__obverse__L02__S01__0x12079.png,DIŠ,DISH,output/phase6_OB_first/overlays/faces/YBC.6147__obverse.jpg,output/phase6_OB_first/overlays/lines/YBC.6147__obverse__L02.jpg
HS.2067__reverse,4,HS.2067__reverse__L04__S01__0x12079.png,DIŠ,DISH,output/phase6_OB_first/overlays/faces/HS.2067__reverse.jpg,output/phase6_OB_first/overlays/lines/HS.2067__reverse__L04.jpg
YBC.5175__reverse,3,YBC.5175__reverse__L03__S01__0x1222c.png,MU,MU,output/phase6_OB_first/overlays/faces/YBC.5175__reverse.jpg,output/phase6_OB_first/overlays/lines/YBC.5175__reverse__L03.jpg
YBC.5148__obverse__envelope,4,YBC.5148__obverse__envelope__L04__S01__0x12147.png,|IGI.DIB|,IGI & DIB,output/phase6_OB_first/overlays/faces/YBC.5148__obverse__envelope.jpg,output/phase6_OB_first/overlays/lines/YBC.5148__obverse__envelope__L04.jpg
YBC.6236__obverse__tablet,3,YBC.6236__obverse__tablet__L03__S01__0x12009.png,A₂,A2,output/phase6_OB_first/overlays/faces/YBC.6236__obverse__tablet.jpg,output/phase6_OB_first/overlays/lines/YBC.6236__obverse__tablet__L03.jpg
YBC.9117__obverse,2,YBC.9117__obverse__L02__S01__0x1213f.png,I,I,output/phase6_OB_first/overlays/faces/YBC.9117__obverse.jpg,output/phase6_OB_first/overlays/lines/YBC.9117__obverse__L02.jpg
YBC.4335__obverse,1,YBC.4335__obverse__L01__S01__0x12079.png,DIŠ,DISH,output/phase6_OB_first/overlays/faces/YBC.4335__obverse.jpg,output/phase6_OB_first/overlays/lines/YBC.4335__obverse__L01.jpg
YBC.5322__reverse,2,YBC.5322__reverse__L02__S01__0x12146.png,IGI,IGI,output/phase6_OB_first/overlays/faces/YBC.5322__reverse.jpg,output/phase6_OB_first/overlays/lines/YBC.5322__reverse__L02.jpg
YBC.5630__obverse,2,YBC.5630__obverse__L02__S01__0x1235d.png,ZA,ZA,output/phase6_OB_first/overlays/faces/YBC.5630__obverse.jpg,output/phase6_OB_first/overlays/lines/YBC.5630__obverse__L02.jpg
HS.2144__reverse,1,HS.2144__reverse__L01__S01__0x12079.png,DIŠ,DISH,output/phase6_OB_first/overlays/faces/HS.2144__reverse.jpg,output/phase6_OB_first/overlays/lines/HS.2144__reverse__L01.jpg
