target,sign,prototype,init_score,finished
BM.131470__reverse__L06__S01__0x12146,IGI,IGI,0.513,True
BM.33161__obverse__L01__S01__0x12079,DIŠ,DISH,0.316,True
BM.46918__obverse__L01__S01__0x12079,DIŠ,DISH,0.586,True
BM.48430__reverse__L05__S01__0x1231d,UM,UM,0.597,True
HS.2022__obverse__L02__S01__0x12261,NU,NU,0.636,True
HS.2042__obverse__L03__S01__0x1222b,MIN,MIN,0.569,True
HS.2049__obverse__L06__S01__0x12146,IGI,IGI,0.651,True
HS.2067__reverse__L04__S01__0x12079,DIŠ,DISH,0.526,True
HS.2070__reverse__tablet__L07__S01__0x12079,DIŠ,DISH,0.568,True
HS.2091__obverse__L02__S01__0x1222c,MU,MU,0.605,True
HS.2096__obverse__L08__S01__0x12000,A,A,0.666,True
HS.2119__obverse__tablet__L01__S01__0x12079,DIŠ,DISH,0.309,True
HS.2132__obverse__envelope__L02__S01__0x12079,DIŠ,DISH,0.707,True
HS.2144__reverse__L01__S01__0x12079,DIŠ,DISH,0.54,True
HS.2363__reverse__L02__S01__0x12146,IGI,IGI,0.611,True
HS.2371__obverse__L05__S01__0x1222b,MIN,MIN,0.734,True
NBC.6257__obverse__L01__S01__0x1224c,NI,NI,0.356,True
NBC.6764__obverse__L07__S01__0x121a0,KI,KI,0.663,True
NBC.7278__reverse__L01__S01__0x12146,IGI,IGI,0.348,True
NCBT.1812__obverse__L03__S01__0x121ac,KU₃,KU3,0.607,True
U.30616__reverse__L02__S01__0x121a0,KI,KI,0.559,True
YBC.13099__obverse__L02__S01__0x12227,MAŠ₂,MASH2,0.625,True
YBC.4220__reverse__L01__S01__0x1208d,E₂,E2,0.53,True
YBC.4234__obverse__L01__S01__0x12038,AŠ,ASH,0.427,True
YBC.4275__obverse__L02__S01__0x12295,SAG,SAG,0.808,True
YBC.4277__obverse__L02__S01__0x12111,GIŠ,GISH,0.613,True
YBC.4335__obverse__L01__S01__0x12079,DIŠ,DISH,0.391,True
YBC.4356__obverse__L02__S01__0x12079,DIŠ,DISH,0.576,True
YBC.4590__reverse__L11__S01__0x1214e,IM,IM,0.658,True
YBC.4598__obverse__L10__S01__0x1214e,IM,IM,0.41,True
YBC.4642__obverse__L06__S01__0x12079,DIŠ,DISH,0.506,True
YBC.5056__reverse__L02__S01__0x121fd,LU₂,LU2,0.711,True
YBC.5078__obverse__L01__S01__0x12079,DIŠ,DISH,0.284,True
YBC.5148__obverse__L02__S01__0x122ad,ŠA,SHA,0.368,True
YBC.5148__obverse__envelope__L04__S01__0x12147,|IGI.DIB|,IGI & DIB,0.434,True
YBC.5148__reverse__envelope__L05__S01__0x12146,IGI,IGI,0.46,True
YBC.5175__reverse__L03__S01__0x1222c,MU,MU,0.552,True
YBC.5322__reverse__L02__S01__0x12146,IGI,IGI,0.23,True
YBC.5570__obverse__tablet__L01__S01__0x1222b,MIN,MIN,0.533,True
YBC.5630__obverse__L02__S01__0x1235d,ZA,ZA,0.549,True
YBC.5684__obverse__L01__S01__0x12079,DIŠ,DISH,0.372,True
YBC.5692__obverse__tablet__L01__S01__0x12079,DIŠ,DISH,0.445,True
YBC.5692__reverse__tablet__L01__S01__0x1222c,MU,MU,0.521,True
YBC.5699__reverse__L01__S01__0x12146,IGI,IGI,0.567,True
YBC.5703__obverse__L02__S01__0x12079,DIŠ,DISH,0.68,True
YBC.5704__reverse__L11__S01__0x12146,IGI,IGI,0.6,True
YBC.5714__reverse__L01__S01__0x12146,IGI,IGI,0.302,True
YBC.5722__reverse__L02__S01__0x12146,IGI,IGI,0.272,True
YBC.5724__reverse__L02__S01__0x12146,IGI,IGI,0.254,True
YBC.5732__obverse__L01__S01__0x12079,DIŠ,DISH,0.444,True
YBC.5748__reverse__L02__S01__0x1213f,I,I,0.479,True
YBC.6147__obverse__L02__S01__0x12079,DIŠ,DISH,0.66,True
YBC.6152__obverse__L09__S01__0x12147,|IGI.DIB|,IGI & DIB,0.364,True
YBC.6236__obverse__tablet__L03__S01__0x12009,A₂,A2,0.821,True
YBC.6326__obverse__L01__S01__0x1230d,|U.U.U|,U U U,0.302,True
YBC.7191__reverse__L01__S01__0x1222c,MU,MU,0.312,True
YBC.7227__obverse__L01__S01__0x1222b,MIN,MIN,0.462,True
YBC.7794__reverse__L01__S01__0x122eb,TA,TA,0.569,True
YBC.9091__reverse__envelope__L03__S01__0x12146,IGI,IGI,0.57,True
YBC.9117__obverse__L02__S01__0x1213f,I,I,0.514,True
