image,sign,name,hex,mean_shift_px,max_shift_px,iou
Rm.475_5,RI,RI,0x12291,35.863339364980675,62.08939925837463,0.2620594239821829
GCBC.313_3,MA,MA,0x12220,42.131896595095554,97.29008923933011,0.24629648497198167
K.8291_2,TE,TE,0x122fc,31.389918666059224,63.23605683596779,0.21258724233079046
GCBC.234_2,A,A,0x12000,76.99108386399129,139.88187677864292,0.20992925103683827
K.13731_99,KU,KU,0x121aa,36.753966432819674,66.75648150813647,0.2071968308814547
BM.41239_107,|HI×BAD|,HI TIMES BAD,0x12130,63.14737594656915,127.04848144086634,0.19711261790977558
K.4063_20,DA,DA,0x12055,52.207199679054334,101.6792876668648,0.1933186797217025
Sm.1935_4,NE,NE,0x12248,49.40103583816724,95.91396222665605,0.1883739443444552
YBC.11356_1,LA,LA,0x121b7,31.995247853520464,69.99143442704371,0.18458454445224015
BM.40757_53,BAL,BAL,0x12044,42.35135990989318,76.78990388361743,0.17136026856106204
BM.45581_1,ŠU₂,SHU2,0x122d9,47.38873959862945,80.02729291442196,0.1701640499194847
BM.40053_3,U,U,0x1230b,59.50866314472475,96.19364602427545,0.16978597653801378
BM.36456_13,AN,AN,0x1202d,60.825233233520926,139.02588493234697,0.16828223155967884
BM.31646_28,U,U,0x1230b,48.190048482600915,74.76300622189481,0.16644216691068814
BM.39351_1,LI,LI,0x121f7,66.52440247118355,123.9534323889692,0.1569559657693695
BM.47031_3,U₂,U2,0x12311,61.017460396495316,143.3901148418824,0.15684950680916232
K.17956_2,|KA×GAR|,KA TIMES GAR,0x12165,66.28742983962466,170.96046587789868,0.15262488162878787
CBS.1470_109,MA,MA,0x12220,44.01308098049568,62.455359379137796,0.14691842203332683
K.1999_82,RU,RU,0x12292,76.90917727685024,161.16686404079854,0.14478712833447985
BM.42325_34,ŠU,SHU,0x122d7,35.94671753001017,70.18793382491961,0.14451147733961153
YBC.3704_115,GA,GA,0x120b5,94.3693899742422,235.22251790883737,0.14262567569455115
K.128_121,BA,BA,0x12040,33.55207040466942,55.20121962466245,0.14235974247799238
K.1808_295,RU,RU,0x12292,86.9885172188021,218.24352828246043,0.1419225723991793
HS.455_131,DIŠ,DISH,0x12079,34.71625284995979,79.65836395941558,0.13676866754161773
K.7853_36,IGI,IGI,0x12146,72.73229660045843,154.83670980060805,0.13310410244249465
K.8479_3,ZA,ZA,0x1235d,77.03717501213751,101.91268869141335,0.13103059200349415
YBC.3855_108,GAN,GAN,0x120f6,50.704786780923406,114.36034270228467,0.13009524936401823
K.6201_119,ERIN₂,ERIN2,0x1209f,99.50467257545813,158.74347289827722,0.12955721451988783
NCBT.251_3,HI×BAD,HI TIMES BAD,0x12130,81.16432444503518,141.39489865531618,0.12548354398957406
CBS.26_123,U₂,U2,0x12311,89.81548554090172,246.77261814578827,0.12072088389784459
K.11564_2,AŠ,ASH,0x12038,39.918146902357165,53.04699548254707,0.11755397707293058
HS.458_113,BU,BU,0x1204d,87.31296314715323,174.66336068065414,0.11683900294720016
GCBC.530_3,DIŠ,DISH,0x12079,43.80665426672607,68.03428914971693,0.11558368773283223
CBS.1470_88,NI,NI,0x1224c,93.06588625762396,240.5666100250557,0.1153805101931903
K.10511_2,NA,NAA,0x1223e,75.74428835906056,124.87110984731409,0.10616402667778241
K.20627_1,A,A,0x12000,78.02591823185075,113.56842035623052,0.10582096853089842
BM.32217_31,AN,AN,0x1202d,101.33638325836621,184.48062160907594,0.09999807510923756
HS.453_404,ŠID,SHID,0x122c3,48.47113455899188,87.8742902973573,0.09954265611257695
CBS.1516_276,GAL,GAL,0x120f2,67.30466118352874,122.76686357367706,0.09860442997457612
BM.34796_6,MA,MA,0x12220,92.85870690043706,150.73124431161565,0.09684522379694131
BM.43711_2,AN,AN,0x1202d,91.59388676727106,143.02531072518136,0.09639392344137776
K.128_93,RI,RI,0x12291,36.61108842431698,60.22519811959805,0.09506718342356472
"1881,0204.206_3",KA,KA,0x12157,100.94977148176697,176.12025462286712,0.09377190347451687
HS.545_3,MU,MU,0x1222c,48.08937424388394,81.81400902572094,0.08982139760707473
K.9530_3,RI,RI,0x12291,37.88916292347081,65.56128347831941,0.0897341000967944
"1881,0727.205_8",BA,BA,0x12040,61.589533923117116,94.90046042897525,0.07815509815379953
YBC.4024_34,AN,AN,0x1202d,119.94148105385615,188.49093307383194,0.07717885543737356
HS.455_14,AN,AN,0x1202d,78.54030982118904,133.93559373214788,0.07268731775345476
K.15488_5,MU,MU,0x1222c,152.87000828324543,257.1512499449267,0.06991442595890708
K.4030_278,PA,PA,0x1227a,60.271668611363104,91.15013042463595,0.06663559307404146
HS.2035_3,DIŠ,DISH,0x12079,94.63534083288465,153.63371265167692,0.03298685911245153
