x0,y0,x1,y1,score,label,sign
231.7,435.4,325.2,488.8,0.977,119,DIM
17.0,396.4,75.7,443.8,0.962,50,U₂
393.3,106.4,431.8,160.0,0.962,11,A
28.5,447.7,86.0,495.9,0.962,7,I
310.0,383.5,369.2,427.4,0.96,35,BAD
76.6,394.5,146.2,441.9,0.956,7,I
251.8,110.5,324.7,165.0,0.955,21,MA
146.1,390.7,189.6,443.0,0.952,11,A
263.6,224.0,331.8,274.4,0.952,34,NA
278.9,59.2,351.0,110.7,0.951,21,MA
259.9,326.0,331.1,385.3,0.949,88,ŠA
190.7,232.5,265.9,279.1,0.949,92,NI
262.7,279.1,325.8,328.4,0.949,34,NA
326.0,323.4,393.4,373.4,0.948,70,ZU
76.2,124.8,147.7,177.5,0.946,21,MA
85.8,447.6,153.5,496.8,0.944,34,NA
46.9,232.5,125.5,285.9,0.937,25,DU
437.6,370.5,516.4,419.7,0.935,21,MA
34.8,35.6,75.2,87.2,0.93,11,A
50.3,179.2,112.0,231.2,0.921,34,NA
102.4,502.7,150.9,544.5,0.921,109,NU
53.6,339.8,124.6,389.4,0.919,34,NA
321.9,273.9,370.1,325.8,0.912,114,KU
12.9,335.3,56.1,389.2,0.911,11,A
11.4,237.0,50.9,289.4,0.906,11,A
123.1,334.9,198.6,386.3,0.899,55,ZI
429.4,311.4,472.6,371.0,0.893,44,DIN
261.7,494.7,314.3,542.5,0.889,45,KI
16.9,179.0,53.5,234.3,0.868,11,A
348.0,58.3,408.7,106.6,0.861,98,E
460.9,419.3,516.3,477.8,0.854,56,GA
421.5,261.6,498.4,314.7,0.839,67,UR
319.5,103.3,390.7,158.8,0.828,56,GA
356.7,11.7,426.2,58.4,0.828,4,TA
120.4,232.5,194.9,282.1,0.828,74,RA
242.3,165.4,319.1,222.3,0.823,25,DU
142.5,115.7,256.2,175.1,0.809,9,LI
170.6,171.7,247.1,227.3,0.808,15,IŠ
205.6,64.2,282.5,113.8,0.802,4,TA
365.7,266.8,424.0,320.7,0.787,91,BU
491.3,151.2,517.1,205.5,0.783,11,A
130.9,67.5,204.8,119.6,0.759,138,DAR
455.5,152.8,493.1,207.4,0.737,37,UD
125.3,287.0,202.5,336.8,0.71,2,TUM
28.7,80.4,80.2,129.2,0.704,35,BAD
399.8,428.0,464.1,479.3,0.694,111,AB₂
190.7,385.9,245.2,443.3,0.67,44,DIN
12.5,288.5,91.2,337.9,0.618,19,DA
14.6,127.4,79.8,180.6,0.558,71,ŠU
373.7,217.4,427.6,263.7,0.547,35,BAD
321.4,432.5,378.9,487.7,0.544,47,KU₃
249.0,386.6,310.3,435.7,0.536,83,LAL
213.1,283.7,261.0,334.0,0.488,11,A
330.0,220.2,367.1,270.1,0.476,83,LAL
409.6,56.0,473.1,105.0,0.46,4,TA
315.3,162.7,364.3,220.3,0.452,44,DIN
272.5,8.7,312.9,55.9,0.449,97,U
221.3,7.1,309.5,60.4,0.429,19,DA
391.4,320.1,432.1,371.5,0.422,11,A
122.9,546.6,160.4,572.6,0.417,11,A
79.2,72.8,129.0,127.0,0.399,136,PI
145.6,115.6,249.9,173.9,0.396,9,LI
187.4,114.0,257.9,169.9,0.39,88,ŠA
107.3,178.8,169.1,230.8,0.384,114,KU
79.2,72.8,129.0,127.0,0.35,37,UD
73.7,27.1,143.0,76.2,0.348,34,NA
224.9,546.3,309.5,582.7,0.34,15,IŠ
122.1,332.0,264.3,388.2,0.335,119,DIM
161.2,545.8,230.6,577.8,0.327,34,NA
220.7,9.2,276.4,59.6,0.319,147,AŠ₂
213.1,283.7,261.0,334.0,0.308,37,UD
45.3,502.0,105.3,543.0,0.307,17,LU
190.7,334.6,266.0,383.2,0.307,79,IN
