x0,y0,x1,y1,score,label,sign
464.8,309.3,730.5,453.2,0.979,21,MA
297.4,548.9,545.5,702.8,0.978,56,GA
368.3,33.8,603.9,166.5,0.945,21,MA
794.7,172.2,982.6,323.0,0.944,88,ŠA
733.3,316.1,861.5,457.2,0.93,11,A
669.5,796.5,887.7,960.2,0.923,74,RA
37.6,566.6,309.1,719.6,0.919,55,ZI
39.4,324.5,243.2,466.3,0.914,45,KI
37.1,442.5,285.6,591.8,0.904,55,ZI
96.8,49.8,377.9,203.2,0.893,113,UM
516.7,167.0,811.7,329.4,0.832,38,UnclearSign
591.0,29.9,790.1,168.7,0.831,7,I
829.5,670.9,1036.5,798.4,0.79,92,NI
32.8,684.1,302.3,842.1,0.722,4,TA
311.4,686.9,568.4,826.6,0.72,34,NA
324.9,183.6,545.7,308.5,0.715,100,GIŠ
273.1,430.0,498.9,580.7,0.686,56,GA
847.7,292.4,1004.6,462.6,0.679,44,DIN
481.6,820.9,675.4,967.9,0.588,35,BAD
988.1,307.4,1117.4,434.9,0.495,7,I
481.6,820.9,675.4,967.9,0.353,25,DU
