face,side,n_lines,atf_lines,count_diff,agreement,proximity,n_boxes,spacing_cv,confidence
P357517_obverse,obverse,12,12,0,0.417,0.354,48,0.053,0.572
P358703_reverse,reverse,14,14,0,0.5,0.562,64,0.031,0.677
P393106_obverse,obverse,9,9,0,0.778,0.75,24,0.041,0.829
P390553_reverse,reverse,3,3,0,0.667,0.667,6,0.003,0.777
P393106_reverse,reverse,10,10,0,0.4,1.0,7,0.052,0.783
P359389_left,left,2,2,0,0.5,,2,0.0,0.75
P359288_obverse,obverse,13,13,0,0.769,0.6,60,0.044,0.775
P359175_obverse,obverse,13,13,0,0.615,0.565,62,0.035,0.715
P359389_obverse,obverse,6,6,0,,,0,0.021,0.979
P393106_left,left,2,2,0,,,0,0.0,1.0
P359266_obverse,obverse,7,7,0,0.714,0.462,26,0.026,0.716
P333916_reverse,reverse,14,14,0,0.714,0.5,8,0.031,0.728
P357640_obverse,obverse,18,18,0,0.667,0.49,100,0.055,0.701
P361137_left,left,3,3,0,,,0,0.006,0.994
P359171_obverse,obverse,7,7,0,0.857,0.571,21,0.013,0.805
P333942_obverse,obverse,9,9,0,0.556,0.519,27,0.035,0.68
P359272_reverse,reverse,13,13,0,0.923,0.75,48,0.026,0.882
P361137_reverse,reverse,12,12,0,0.5,0.433,30,0.044,0.63
P361137_obverse,obverse,10,10,0,0.6,0.833,18,0.072,0.787
P359288_reverse,reverse,12,12,0,0.917,0.889,45,0.023,0.928
P357697_left,left,3,3,0,0.333,,2,0.0,0.667
P359121_obverse,obverse,7,7,0,0.286,0.158,19,0.037,0.469
P359266_left,left,3,3,0,,,1,0.006,0.994
P333942_reverse,reverse,11,11,0,0.909,0.744,43,0.042,0.87
P357697_reverse,reverse,12,12,0,0.667,0.315,89,0.058,0.641
P359266_reverse,reverse,9,9,0,0.444,0.429,7,0.029,0.615
P359175_reverse,reverse,3,3,0,,,1,0.0,1.0
P333916_obverse,obverse,19,19,0,0.684,0.569,51,0.05,0.734
P359232_obverse,obverse,5,5,0,0.6,0.769,13,0.018,0.784
P359272_obverse,obverse,20,20,0,0.55,0.533,75,0.035,0.683
P357628_left,left,4,4,0,0.5,0.667,12,0.021,0.715
P357697_obverse,obverse,2,2,0,,,0,0.0,1.0
P405519_obverse,obverse,4,4,0,0.75,,3,0.009,0.87
P359272_left,left,2,2,0,0.5,0.875,8,0.0,0.792
P359232_reverse,reverse,4,4,0,1.0,,4,0.014,0.993
P357640_reverse,reverse,16,16,0,0.562,0.25,100,0.031,0.594
P359121_reverse,reverse,3,3,0,0.667,,2,0.033,0.817
P358703_left,left,3,3,0,0.667,0.667,12,0.0,0.778
P405519_reverse,reverse,5,5,0,0.4,0.8,5,0.012,0.729
P357628_obverse,obverse,20,20,0,0.4,0.5,72,0.053,0.616
P333917_reverse,reverse,16,16,0,0.875,0.486,70,0.045,0.772
P333917_obverse,obverse,13,13,0,0.923,0.441,59,0.02,0.781
P359389_reverse,reverse,5,5,0,,,1,0.0,1.0
P357517_reverse,reverse,12,12,0,0.583,0.521,73,0.061,0.681
P359171_reverse,reverse,5,5,0,0.8,0.818,11,0.013,0.869
P390553_obverse,obverse,9,9,0,0.889,0.333,18,0.024,0.733
P358703_obverse,obverse,11,11,0,0.545,0.413,75,0.017,0.647
P357517_left,left,2,2,0,0.5,0.875,8,0.0,0.792
P357628_reverse,reverse,22,22,0,0.591,0.5,100,0.033,0.686
