crop,face,tablet,script,side,line_no,n_lines,atf_line,atf_aligned,y_center,x0,y0,x1,y1,pitch_px,skew_deg,face_w,face_h,photo_crop_x0,photo_crop_y0,n_boxes
samples/cdli/P333916/lines/P333916_obverse__L01.jpg,P333916_obverse,P333916,,obverse,1,19,1',True,59.0,5,35,586,82,46.5,-2.0,593,931,,,
samples/cdli/P333916/lines/P333916_obverse__L02.jpg,P333916_obverse,P333916,,obverse,2,19,2',True,106.0,5,82,586,130,46.5,-2.0,593,931,,,
samples/cdli/P333916/lines/P333916_obverse__L03.jpg,P333916_obverse,P333916,,obverse,3,19,3',True,154.0,5,130,586,178,46.5,-2.0,593,931,,,
samples/cdli/P333916/lines/P333916_obverse__L04.jpg,P333916_obverse,P333916,,obverse,4,19,4',True,203.0,5,178,586,225,46.5,-2.0,593,931,,,
samples/cdli/P333916/lines/P333916_obverse__L05.jpg,P333916_obverse,P333916,,obverse,5,19,5',True,248.0,5,225,586,269,46.5,-2.0,593,931,,,
samples/cdli/P333916/lines/P333916_obverse__L06.jpg,P333916_obverse,P333916,,obverse,6,19,6',True,291.0,5,269,586,312,46.5,-2.0,593,931,,,
samples/cdli/P333916/lines/P333916_obverse__L07.jpg,P333916_obverse,P333916,,obverse,7,19,7',True,333.0,5,312,586,354,46.5,-2.0,593,931,,,
samples/cdli/P333916/lines/P333916_obverse__L08.jpg,P333916_obverse,P333916,,obverse,8,19,8',True,375.0,5,354,586,397,46.5,-2.0,593,931,,,
samples/cdli/P333916/lines/P333916_obverse__L09.jpg,P333916_obverse,P333916,,obverse,9,19,9',True,420.0,5,397,586,444,46.5,-2.0,593,931,,,
samples/cdli/P333916/lines/P333916_obverse__L10.jpg,P333916_obverse,P333916,,obverse,10,19,10',True,468.0,5,444,586,490,46.5,-2.0,593,931,,,
samples/cdli/P333916/lines/P333916_obverse__L11.jpg,P333916_obverse,P333916,,obverse,11,19,11',True,513.0,5,490,586,536,46.5,-2.0,593,931,,,
samples/cdli/P333916/lines/P333916_obverse__L12.jpg,P333916_obverse,P333916,,obverse,12,19,12',True,559.0,5,536,586,583,46.5,-2.0,593,931,,,
samples/cdli/P333916/lines/P333916_obverse__L13.jpg,P333916_obverse,P333916,,obverse,13,19,13',True,607.0,5,583,586,631,46.5,-2.0,593,931,,,
samples/cdli/P333916/lines/P333916_obverse__L14.jpg,P333916_obverse,P333916,,obverse,14,19,14',True,656.0,5,631,586,680,46.5,-2.0,593,931,,,
samples/cdli/P333916/lines/P333916_obverse__L15.jpg,P333916_obverse,P333916,,obverse,15,19,15',True,705.0,5,680,586,729,46.5,-2.0,593,931,,,
samples/cdli/P333916/lines/P333916_obverse__L16.jpg,P333916_obverse,P333916,,obverse,16,19,16',True,753.0,5,729,586,776,46.5,-2.0,593,931,,,
