face,p_number,side,file,rotation,atf_lines,px_per_line,accepted,reason,face_image_scale
P333916_obverse,P333916,obverse,samples/cdli/P333916/faces/P333916_obverse.jpg,,19,43,True,,1.0
P333916_reverse,P333916,reverse,samples/cdli/P333916/faces/P333916_reverse.jpg,,14,59,True,,1.0
P333917_obverse,P333917,obverse,samples/cdli/P333917/faces/P333917_obverse.jpg,,13,51,True,,1.0
P333917_reverse,P333917,reverse,samples/cdli/P333917/faces/P333917_reverse.jpg,,16,42,True,,1.0
P333942_obverse,P333942,obverse,samples/cdli/P333942/faces/P333942_obverse.jpg,,9,53,True,,1.0
P333942_reverse,P333942,reverse,samples/cdli/P333942/faces/P333942_reverse.jpg,,11,44,True,,1.0
P357517_left,P357517,left,samples/cdli/P357517/faces/P357517_left.jpg,cw,2,74,True,,1.0
P357517_obverse,P357517,obverse,samples/cdli/P357517/faces/P357517_obverse.jpg,,12,43,True,,1.0
P357517_reverse,P357517,reverse,samples/cdli/P357517/faces/P357517_reverse.jpg,,12,43,True,,1.0
P357628_left,P357628,left,samples/cdli/P357628/faces/P357628_left.jpg,cw,4,35,True,,1.0
P357628_obverse,P357628,obverse,samples/cdli/P357628/faces/P357628_obverse.jpg,,20,33,True,,1.0
P357628_reverse,P357628,reverse,samples/cdli/P357628/faces/P357628_reverse.jpg,,22,31,True,,1.0
P357640_obverse,P357640,obverse,samples/cdli/P357640/faces/P357640_obverse.jpg,,18,37,True,,1.0
P357640_reverse,P357640,reverse,samples/cdli/P357640/faces/P357640_reverse.jpg,,16,42,True,,1.0
P357697_left,P357697,left,samples/cdli/P357697/faces/P357697_left.jpg,cw,3,21,True,,1.0
P357697_obverse,P357697,obverse,samples/cdli/P357697/faces/P357697_obverse.jpg,,2,259,True,,1.0
P357697_reverse,P357697,reverse,samples/cdli/P357697/faces/P357697_reverse.jpg,,12,42,True,,1.0
P358703_left,P358703,left,samples/cdli/P358703/faces/P358703_left.jpg,cw,3,50,True,,1.0
P358703_obverse,P358703,obverse,samples/cdli/P358703/faces/P358703_obverse.jpg,,11,44,True,,1.0
P358703_reverse,P358703,reverse,samples/cdli/P358703/faces/P358703_reverse.jpg,,14,35,True,,1.0
P359121_obverse,P359121,obverse,samples/cdli/P359121/faces/P359121_obverse.jpg,,7,134,True,,1.0
P359121_reverse,P359121,reverse,samples/cdli/P359121/faces/P359121_reverse.jpg,,3,310,True,,1.0
P359171_obverse,P359171,obverse,samples/cdli/P359171/faces/P359171_obverse.jpg,,7,136,True,,1.0
P359171_reverse,P359171,reverse,samples/cdli/P359171/faces/P359171_reverse.jpg,,5,189,True,,1.0
P359175_obverse,P359175,obverse,samples/cdli/P359175/faces/P359175_obverse.jpg,,13,81,True,,1.0
P359175_reverse,P359175,reverse,samples/cdli/P359175/faces/P359175_reverse.jpg,,3,355,True,,1.0
P359232_obverse,P359232,obverse,samples/cdli/P359232/faces/P359232_obverse.jpg,,5,184,True,,1.0
P359232_reverse,P359232,reverse,samples/cdli/P359232/faces/P359232_reverse.jpg,,4,227,True,,1.0
P359266_left,P359266,left,samples/cdli/P359266/faces/P359266_left.jpg,cw,3,61,True,,1.0
P359266_obverse,P359266,obverse,samples/cdli/P359266/faces/P359266_obverse.jpg,,7,130,True,,1.0
P359266_reverse,P359266,reverse,samples/cdli/P359266/faces/P359266_reverse.jpg,,9,80,True,,1.0
P359272_left,P359272,left,samples/cdli/P359272/faces/P359272_left.jpg,cw,2,150,True,,1.0
P359272_obverse,P359272,obverse,samples/cdli/P359272/faces/P359272_obverse.jpg,,20,53,True,,1.0
P359272_reverse,P359272,reverse,samples/cdli/P359272/faces/P359272_reverse.jpg,,13,81,True,,1.0
P359288_left,P359288,left,samples/cdli/P359288/faces/P359288_left.jpg,cw,1,325,True,,1.0
P359288_obverse,P359288,obverse,samples/cdli/P359288/faces/P359288_obverse.jpg,,13,80,True,,1.0
P359288_reverse,P359288,reverse,samples/cdli/P359288/faces/P359288_reverse.jpg,,12,87,True,,1.0
P359389_left,P359389,left,samples/cdli/P359389/faces/P359389_left.jpg,cw,2,205,True,,1.0
P359389_obverse,P359389,obverse,samples/cdli/P359389/faces/P359389_obverse.jpg,,6,35,True,,1.0
P359389_reverse,P359389,reverse,samples/cdli/P359389/faces/P359389_reverse.jpg,,5,85,True,,1.0
P361137_left,P361137,left,samples/cdli/P361137/faces/P361137_left.jpg,cw,3,107,True,,1.0
P361137_obverse,P361137,obverse,samples/cdli/P361137/faces/P361137_obverse.jpg,,10,98,True,,1.0
P361137_reverse,P361137,reverse,samples/cdli/P361137/faces/P361137_reverse.jpg,,12,83,True,,1.0
P390553_obverse,P390553,obverse,samples/cdli/P390553/faces/P390553_obverse.jpg,,9,47,True,,1.0
P390553_reverse,P390553,reverse,samples/cdli/P390553/faces/P390553_reverse.jpg,,3,141,True,,1.0
P393106_left,P393106,left,samples/cdli/P393106/faces/P393106_left.jpg,cw,2,90,True,,1.0
P393106_obverse,P393106,obverse,samples/cdli/P393106/faces/P393106_obverse.jpg,,9,53,True,,1.0
P393106_reverse,P393106,reverse,samples/cdli/P393106/faces/P393106_reverse.jpg,,10,48,True,,1.0
P405519_left,P405519,left,samples/cdli/P405519/faces/P405519_left.jpg,cw,1,111,True,,1.0
P405519_obverse,P405519,obverse,samples/cdli/P405519/faces/P405519_obverse.jpg,,4,42,True,,1.0
P405519_reverse,P405519,reverse,samples/cdli/P405519/faces/P405519_reverse.jpg,,5,34,True,,1.0
