x0,y0,x1,y1,score,label,sign
1893.3,861.2,2090.1,985.5,0.98,111,AB₂
1659.1,1784.4,1819.7,1961.9,0.978,87,RU
1975.2,1775.1,2157.6,1951.1,0.974,88,ŠA
916.0,229.5,1139.3,364.5,0.97,166,MAR
592.4,797.0,838.6,929.9,0.968,22,E₂
2023.3,2010.3,2152.3,2180.3,0.965,42,AK
1795.4,1762.3,1996.6,1964.1,0.962,8,TI
672.7,894.0,857.2,1039.0,0.959,87,RU
3000.9,1978.8,3167.7,2138.0,0.958,21,MA
1341.3,1803.4,1537.1,1989.3,0.954,139,DUB
1006.8,453.1,1266.3,593.7,0.954,21,MA
484.6,908.7,704.3,1053.2,0.953,0,TU
452.3,691.9,656.6,830.4,0.952,140,SAR
2102.5,977.7,2261.8,1113.9,0.951,124,SA
1035.1,347.5,1190.7,477.3,0.951,41,AB
977.2,1619.6,1080.1,1792.6,0.948,26,ŠU₂
2203.8,425.2,2400.7,563.8,0.947,5,GAR
2067.1,860.7,2297.8,988.1,0.945,3,LA
1258.6,1579.2,1373.8,1760.7,0.945,143,KUR
2805.8,1743.9,2962.1,1907.6,0.943,11,A
690.8,1119.4,1201.4,1281.2,0.942,6,GAL
1187.9,1803.0,1354.9,1997.1,0.942,38,UnclearSign
453.1,1138.4,704.4,1281.1,0.941,22,E₂
2132.5,1795.8,2255.5,1931.1,0.94,48,AŠ
579.7,1256.6,818.8,1403.3,0.939,14,RI
717.4,337.1,906.3,484.7,0.929,154,UN
1621.3,1582.0,1803.9,1747.4,0.924,88,ŠA
839.7,898.5,999.0,1033.3,0.92,71,ŠU
486.6,229.2,689.2,361.8,0.92,87,RU
758.6,1830.3,906.0,2038.5,0.919,122,ERIN₂
2139.7,1995.6,2309.9,2176.6,0.918,8,TI
1873.9,960.9,2131.5,1116.3,0.916,38,UnclearSign
1359.2,329.0,1574.6,481.1,0.914,78,GA₂
2478.9,1735.9,2851.9,1930.4,0.913,116,MEŠ
447.8,1644.3,549.2,1837.7,0.912,61,KAK
2356.0,123.5,2506.6,229.9,0.911,90,ME
774.3,1368.4,964.7,1511.8,0.91,11,A
1350.3,2304.1,1496.3,2484.4,0.906,34,NA
889.9,334.1,1047.9,483.7,0.906,19,DA
2974.9,1535.1,3157.3,1677.4,0.905,15,IŠ
1078.2,1601.9,1286.9,1779.5,0.904,43,LUGAL
611.6,1008.2,764.2,1167.0,0.9,19,DA
2570.7,1993.4,2718.9,2163.9,0.9,33,AN
1036.0,346.0,1190.1,479.2,0.889,41,AB
2865.9,1974.9,3010.0,2131.9,0.888,45,KI
798.3,1625.5,999.0,1802.6,0.888,43,LUGAL
2421.2,970.2,2530.9,1103.6,0.888,5,GAR
747.2,1021.1,924.2,1152.3,0.885,14,RI
884.4,1826.7,1097.3,2019.7,0.884,2,TUM
1996.5,545.2,2248.4,673.2,0.872,70,ZU
2284.1,1999.1,2473.0,2161.4,0.866,38,UnclearSign
680.5,446.2,1025.0,608.5,0.863,38,UnclearSign
669.8,234.3,926.3,360.6,0.862,2,TUM
2444.6,2006.3,2588.5,2154.3,0.862,124,SA
459.0,464.0,692.2,600.6,0.848,87,RU
1266.9,123.1,1486.8,247.8,0.848,86,KA
2562.4,2251.7,2753.2,2420.3,0.847,45,KI
1359.8,1587.7,1513.7,1748.5,0.847,33,AN
2948.2,1748.8,3118.0,1895.4,0.841,67,UR
608.5,1374.5,728.4,1509.7,0.841,97,U
495.1,126.3,713.4,255.5,0.838,74,RA
1265.9,658.4,1468.6,812.9,0.835,56,GA
582.0,1871.8,692.2,2023.5,0.833,49,IGI
1482.1,2305.2,1635.7,2471.2,0.831,4,TA
2238.9,964.5,2441.4,1110.6,0.83,86,KA
2355.8,1519.3,2583.0,1711.7,0.827,136,PI
1717.8,988.8,1905.9,1117.7,0.825,38,UnclearSign
904.1,120.9,1101.4,262.6,0.816,19,DA
432.2,1270.0,600.9,1409.5,0.815,11,A
1599.1,2042.4,1728.1,2198.0,0.813,92,NI
448.2,1385.9,705.9,1524.2,0.808,17,LU
559.4,331.2,734.3,472.5,0.8,24,MU
1128.5,223.6,1337.8,348.7,0.796,38,UnclearSign
1865.8,2265.5,2012.8,2456.1,0.795,49,IGI
1408.1,2043.4,1611.8,2217.1,0.792,70,ZU
1548.3,446.9,1803.9,590.7,0.787,25,DU
2401.8,2258.9,2589.7,2433.4,0.786,30,|I.A|
1564.1,330.9,1731.0,470.3,0.785,33,AN
214.3,1389.7,436.1,1531.0,0.774,140,SAR
1177.3,2322.4,1309.2,2488.9,0.773,21,MA
1627.0,2302.6,1775.4,2464.2,0.766,166,MAR
513.1,1033.2,628.8,1165.3,0.757,5,GAR
3154.8,1973.2,3346.7,2129.3,0.745,3,LA
948.5,1341.6,1488.0,1525.9,0.743,38,UnclearSign
2183.1,311.1,2448.5,448.4,0.74,56,GA
