column,line_index,line_label,primed,is_first_line,sparse,n_signs,ax0,ay0,ax1,ay1,thickness,tilt_deg
single,1,1',True,True,False,9,822.6,181.3,2924.9,123.8,129.1,-1.6
single,2,2',True,False,False,9,493.2,286.3,3064.2,212.5,143.0,-1.6
single,3,3',True,False,False,9,451.9,395.0,2803.6,317.0,145.0,-1.9
single,4,4',True,False,True,2,2143.8,446.6,2808.7,422.6,163.1,-2.1
single,5,5',True,False,False,8,420.2,601.9,3135.9,507.3,147.7,-2.0
single,6,6',True,False,False,11,618.8,697.8,3065.6,608.8,147.7,-2.1
single,7,7',True,False,False,10,735.5,803.1,3142.8,726.6,154.3,-1.8
single,8,8',True,False,False,9,585.9,912.1,3144.7,831.3,141.8,-1.8
single,9,9',True,False,False,12,653.1,1018.4,3292.7,924.3,166.6,-2.0
single,10,10',True,False,False,10,604.6,1128.2,3412.0,1023.1,170.6,-2.1
single,11,11',True,False,False,10,621.8,1248.6,3460.5,1131.3,183.5,-2.4
single,12,12',True,False,False,10,645.2,1357.9,3471.5,1243.6,170.6,-2.3
single,13,13',True,False,False,11,689.1,1465.8,3467.5,1343.7,165.3,-2.5
single,14,14',True,False,False,11,892.6,1569.9,3462.1,1451.8,173.4,-2.6
single,15,15',True,False,False,8,1025.6,1667.3,3438.6,1573.8,173.4,-2.2
single,16,16',True,False,False,9,782.6,1788.1,3378.6,1696.8,181.8,-2.0
single,17,17',True,False,False,5,800.4,1924.0,2457.8,1828.9,189.3,-3.3
single,18,18',True,False,False,7,986.2,2037.8,2662.1,1934.2,193.2,-3.5
single,19,19',True,False,False,7,804.7,2162.0,2614.1,2089.9,177.4,-2.3
single,20,20',True,False,False,4,988.6,2282.9,1828.2,2260.5,204.2,-1.5
single,21,21',True,False,True,2,897.2,2426.6,1773.6,2395.1,205.4,-2.1
single,22,22',True,False,False,5,639.1,2642.5,1882.6,2606.1,237.3,-1.7
