column,line_index,line_label,primed,is_first_line,sparse,n_signs,ax0,ay0,ax1,ay1,thickness,tilt_deg
single,25,1',True,True,False,7,486.0,190.5,2487.0,173.6,138.4,-0.5
single,26,2',True,False,False,6,488.9,303.7,2594.2,266.2,159.3,-1.0
single,27,3',True,False,False,8,561.3,422.3,2457.3,371.9,171.3,-1.5
single,28,4',True,False,False,5,462.3,539.5,2401.5,506.8,175.9,-1.0
single,29,5',True,False,True,1,2000.4,621.4,2232.1,613.6,144.5,-1.9
single,30,6',True,False,True,2,449.8,763.9,1479.2,729.6,166.2,-1.9
single,31,7',True,False,True,1,591.4,874.9,842.9,866.5,123.9,-1.9
single,32,8',True,False,False,5,485.7,984.3,2290.5,920.6,153.1,-2.0
single,33,9',True,False,False,8,507.0,1091.5,2531.1,1028.3,163.1,-1.8
single,34,10',True,False,True,2,443.8,1223.5,1185.6,1198.8,173.9,-1.9
single,35,11',True,False,False,4,427.4,1350.3,1146.8,1316.1,172.7,-2.7
single,36,12',True,False,False,4,451.2,1463.0,1709.7,1423.5,174.9,-1.8
single,39,13',True,False,False,15,220.4,1749.9,3138.5,1572.2,210.2,-3.5
single,40,14',True,False,False,15,581.9,1937.9,3098.5,1810.5,222.4,-2.9
single,41,15',True,False,False,13,748.0,2172.2,3320.2,2037.4,187.1,-3.0
single,42,16',True,False,False,10,1186.9,2401.1,2766.1,2337.7,200.8,-2.3
