x0,y0,x1,y1,score,label,sign
597.0,310.1,806.5,426.6,0.99,169,|IGI.RI|
152.1,1163.3,299.8,1275.3,0.976,40,|UD×(U.U.U)|
446.7,672.9,606.3,772.3,0.974,30,|I.A|
295.5,1275.7,438.9,1368.5,0.97,13,MI
538.2,1111.8,651.3,1238.0,0.958,37,UD
243.4,659.6,331.2,758.2,0.956,11,A
294.8,1158.6,418.6,1277.0,0.955,38,UnclearSign
382.7,771.4,502.4,887.1,0.955,92,NI
215.9,783.0,385.2,885.8,0.947,112,IB
498.9,772.6,603.4,880.3,0.943,33,AN
618.1,658.8,719.4,766.4,0.937,20,|GUD×KUR|
657.8,1606.2,764.9,1694.2,0.922,34,NA
331.1,667.5,431.6,770.8,0.921,31,HI
715.2,648.8,835.4,760.6,0.911,49,IGI
612.8,757.9,770.0,875.3,0.871,73,IM
192.7,1662.0,319.6,1751.3,0.852,86,KA
284.9,191.7,375.8,298.4,0.851,92,NI
622.1,194.6,707.8,300.9,0.823,114,KU
341.7,301.3,467.0,424.9,0.809,50,U₂
489.5,191.4,621.9,298.2,0.799,25,DU
461.3,1749.3,530.8,1820.5,0.796,48,AŠ
244.0,309.3,343.8,412.0,0.761,20,|GUD×KUR|
184.5,202.3,291.4,309.8,0.688,34,NA
686.5,1705.0,793.3,1823.6,0.657,90,ME
106.0,779.9,213.9,880.4,0.611,49,IGI
421.1,1141.2,538.1,1262.6,0.565,47,KU₃
369.8,190.4,496.2,297.7,0.55,132,ZE₂
466.0,315.9,608.8,421.5,0.548,88,ŠA
326.0,1749.6,390.7,1856.2,0.535,11,A
401.0,1636.0,527.5,1718.1,0.529,13,MI
143.7,222.6,212.2,313.5,0.527,11,A
523.1,1734.7,602.1,1823.8,0.48,88,ŠA
328.3,1744.9,464.3,1850.5,0.408,38,UnclearSign
119.1,314.0,247.2,410.9,0.37,54,ŠE
466.0,315.9,608.8,421.5,0.341,4,TA
189.3,1577.0,307.5,1666.1,0.338,24,MU
311.7,1649.4,405.0,1734.5,0.324,20,|GUD×KUR|
386.8,1739.7,462.1,1847.3,0.311,114,KU
