x0,y0,x1,y1,score,label,sign
210.7,416.7,303.2,535.4,0.978,11,A
316.8,532.0,505.1,638.5,0.973,112,IB
84.6,415.2,173.7,541.1,0.965,23,DIŠ
502.9,508.7,658.1,621.7,0.964,34,NA
304.4,401.5,433.4,531.4,0.964,136,PI
83.2,641.9,246.2,746.3,0.958,71,ŠU
323.2,280.3,491.7,405.3,0.954,33,AN
666.5,487.6,814.7,601.9,0.939,2,TUM
589.6,611.3,780.6,713.4,0.924,8,TI
592.0,394.0,695.0,502.2,0.919,33,AN
597.7,709.7,734.5,816.3,0.91,114,KU
436.6,624.8,583.0,735.2,0.901,33,AN
695.7,370.2,808.9,488.7,0.737,73,IM
535.2,274.3,769.5,392.6,0.703,112,IB
159.7,119.6,276.9,286.6,0.676,107,MIN
427.4,389.9,601.9,524.3,0.598,38,UnclearSign
93.7,295.2,271.8,407.3,0.423,45,KI
282.7,635.0,425.0,742.4,0.39,16,BA
152.6,537.8,305.9,646.2,0.316,63,TUR
535.2,274.3,769.5,392.6,0.314,53,GUR
152.6,537.8,305.9,646.2,0.3,7,I
