x0,y0,x1,y1,score,label,sign
266.9,771.4,473.6,968.9,0.987,58,ŠID
546.8,755.1,737.9,913.2,0.982,14,RI
442.7,917.0,635.1,1101.2,0.982,47,KU₃
970.3,1300.8,1160.0,1474.2,0.979,96,SAG
394.8,1048.1,608.7,1247.7,0.975,73,IM
343.8,1526.5,559.0,1735.7,0.974,143,KUR
243.3,323.8,468.8,520.0,0.97,63,TUR
746.6,572.4,934.9,734.5,0.967,56,GA
208.9,639.1,398.7,818.1,0.967,63,TUR
730.2,423.4,882.9,610.1,0.967,7,I
696.3,1162.6,878.4,1347.4,0.966,53,GUR
345.4,1388.7,591.5,1566.7,0.963,8,TI
669.8,177.9,890.0,368.4,0.962,112,IB
283.8,929.5,466.7,1119.6,0.962,46,DUN₃@g
152.4,798.8,293.0,988.1,0.962,5,GAR
949.0,840.7,1074.2,1003.2,0.962,146,6(DIŠ)
858.5,139.3,1037.5,324.5,0.961,24,MU
744.7,1019.8,856.3,1185.5,0.958,11,A
904.3,689.5,1045.7,852.0,0.957,109,NU
851.1,1304.3,994.9,1502.2,0.957,103,|HI×AŠ₂|
668.1,1324.4,880.2,1525.2,0.954,24,MU
569.5,1366.4,697.3,1541.0,0.954,11,A
993.2,1118.9,1140.1,1296.7,0.953,46,DUN₃@g
468.5,323.5,708.5,498.3,0.953,38,UnclearSign
398.1,159.9,568.2,383.4,0.952,33,AN
762.6,1467.0,995.4,1667.8,0.952,0,TU
1102.0,1450.8,1191.0,1634.0,0.949,11,A
600.9,885.6,778.0,1075.6,0.949,37,UD
1012.6,124.4,1171.0,319.9,0.949,12,DI
721.5,713.0,928.2,893.7,0.947,30,|I.A|
820.0,977.5,1035.1,1167.0,0.945,169,|IGI.RI|
1058.6,824.6,1178.5,952.2,0.945,100,GIŠ
375.1,594.8,766.4,788.1,0.943,131,|EN.ZU|
583.7,1047.1,761.3,1200.2,0.943,4,TA
551.6,1505.3,797.9,1712.3,0.943,166,MAR
843.3,1149.1,1024.0,1334.3,0.941,38,UnclearSign
848.9,394.1,1012.6,613.1,0.94,44,DIN
916.2,552.4,1167.9,703.8,0.94,15,IŠ
148.4,968.8,309.0,1155.4,0.94,38,UnclearSign
232.7,1076.9,432.2,1270.2,0.938,33,AN
395.6,458.5,760.9,639.2,0.935,131,|EN.ZU|
999.7,952.0,1173.0,1133.2,0.933,38,UnclearSign
437.5,763.0,568.1,923.1,0.931,109,NU
872.4,298.8,1091.0,433.5,0.929,138,DAR
747.4,841.6,969.8,1042.9,0.907,160,|NINDA₂×ŠE|
992.9,402.2,1173.7,577.5,0.896,108,NAM
175.0,1380.1,385.7,1661.0,0.895,71,ŠU
519.4,162.8,714.8,367.3,0.893,59,|SAL.TUG₂|
144.6,501.3,274.8,694.4,0.844,77,|DIŠ.DIŠ.DIŠ|
409.8,623.3,497.6,729.3,0.702,33,AN
411.0,1220.6,513.5,1415.3,0.686,23,DIŠ
433.2,474.9,514.9,587.1,0.643,33,AN
850.3,301.9,932.0,426.2,0.64,137,AŠ@z
850.4,301.7,933.2,425.8,0.631,137,AŠ@z
431.5,476.5,518.2,590.5,0.552,33,AN
410.9,622.5,498.4,730.4,0.479,33,AN
1114.2,1113.2,1193.3,1281.3,0.3,5,GAR
