x0,y0,x1,y1,score,label,sign
614.7,2010.0,754.0,2188.2,0.983,85,GABA
746.9,638.9,974.8,730.0,0.977,19,DA
387.2,388.6,551.6,482.6,0.974,14,RI
177.1,596.8,362.3,692.5,0.965,21,MA
581.7,552.3,718.8,662.5,0.961,113,UM
186.0,1927.2,365.2,2040.8,0.961,22,E₂
160.8,2042.7,307.2,2190.4,0.958,40,|UD×(U.U.U)|
486.0,554.5,579.3,675.0,0.957,109,NU
685.8,69.4,875.7,193.4,0.956,56,GA
353.2,199.6,568.9,304.9,0.956,38,UnclearSign
716.0,543.0,817.7,648.2,0.956,90,ME
749.0,2016.6,827.4,2185.1,0.955,11,A
643.4,357.5,803.8,458.8,0.955,16,BA
434.5,2036.8,621.4,2181.0,0.955,134,APIN
181.1,398.2,383.1,503.0,0.948,4,TA
352.3,291.3,567.3,394.8,0.944,38,UnclearSign
187.3,681.9,290.9,804.4,0.944,7,I
593.8,656.4,744.5,739.4,0.944,33,AN
175.9,298.9,299.4,406.9,0.943,109,NU
292.3,673.0,372.2,782.5,0.938,44,DIN
1058.4,503.6,1237.1,614.8,0.937,36,AMAR
665.5,1895.9,861.8,2007.6,0.932,13,MI
805.6,530.4,918.5,642.3,0.927,71,ŠU
367.0,570.5,501.5,681.0,0.919,33,AN
174.8,194.5,327.5,310.1,0.914,109,NU
611.2,453.7,758.0,556.7,0.913,16,BA
305.9,99.8,449.5,217.1,0.904,59,|SAL.TUG₂|
815.1,2018.1,943.6,2163.9,0.902,37,UD
940.9,2012.1,1084.5,2167.4,0.898,38,UnclearSign
324.6,2037.6,430.8,2186.9,0.89,100,GIŠ
372.0,1907.0,579.5,2041.8,0.883,113,UM
718.9,187.0,894.9,273.4,0.88,33,AN
741.5,268.5,921.1,362.5,0.879,27,EN
77.5,123.4,173.7,221.5,0.869,23,DIŠ
65.4,230.6,150.6,327.4,0.862,23,DIŠ
1080.3,428.6,1233.0,513.4,0.855,92,NI
1139.6,1978.9,1301.3,2094.0,0.851,39,|HI×BAD|
49.0,1925.1,180.2,2081.2,0.85,38,UnclearSign
178.3,104.8,319.5,215.3,0.834,33,AN
1075.0,341.5,1245.9,434.0,0.775,2,TUM
64.8,329.4,145.9,416.4,0.765,23,DIŠ
1093.7,619.1,1257.3,708.7,0.763,24,MU
1182.6,1890.7,1280.8,1977.5,0.749,11,A
1080.3,262.5,1234.5,351.4,0.745,84,KID
898.6,509.0,1072.2,638.2,0.743,9,LI
761.6,270.3,830.7,324.8,0.705,33,AN
69.1,419.8,162.7,516.2,0.667,23,DIŠ
185.2,477.9,542.4,587.8,0.664,131,|EN.ZU|
180.8,480.1,540.0,588.4,0.662,131,|EN.ZU|
68.7,419.5,162.0,518.1,0.662,23,DIŠ
764.3,272.2,837.2,322.7,0.595,33,AN
176.7,486.9,367.8,607.1,0.312,131,|EN.ZU|
1058.4,503.6,1237.1,614.8,0.312,24,MU
