x0,y0,x1,y1,score,label,sign
718.6,1870.8,855.1,1979.9,0.983,115,SUR
516.6,710.3,694.7,828.0,0.97,84,KID
857.3,1864.4,1041.5,1986.2,0.968,74,RA
509.5,1509.8,633.7,1618.1,0.968,51,ŠA₃
767.3,612.7,893.1,744.8,0.966,5,GAR
825.5,4045.7,989.3,4152.5,0.964,84,KID
1089.5,4782.9,1239.3,4887.8,0.964,2,TUM
130.4,739.7,273.8,855.8,0.964,65,LU₂
1351.5,856.3,1573.7,952.7,0.961,92,NI
910.6,1569.2,1070.0,1686.7,0.961,65,LU₂
1156.1,3856.4,1357.4,3972.9,0.96,108,NAM
133.3,2001.4,300.5,2113.4,0.96,65,LU₂
437.5,1071.0,619.3,1183.2,0.957,84,KID
635.5,1141.3,755.0,1264.1,0.957,26,ŠU₂
780.2,3170.6,967.0,3280.5,0.956,65,LU₂
1179.3,777.2,1350.9,890.2,0.956,92,NI
1129.2,1759.2,1254.8,1864.4,0.956,90,ME
1309.6,1659.2,1515.4,1762.0,0.956,92,NI
1319.7,1390.4,1429.6,1484.1,0.955,18,TE
612.7,2175.8,768.4,2290.5,0.955,83,LAL
1602.7,1904.6,1750.5,2009.1,0.954,21,MA
998.0,710.3,1125.7,809.5,0.953,97,U
1582.9,1078.3,1734.1,1186.8,0.953,21,MA
274.5,906.0,515.4,1021.6,0.952,92,NI
297.0,1081.7,450.6,1189.2,0.952,16,BA
1060.7,4044.9,1268.4,4145.0,0.952,145,|IGI.DIB|
1164.5,1304.9,1286.9,1416.7,0.952,5,GAR
629.6,3521.8,749.0,3621.7,0.952,11,A
1558.0,1172.5,1743.3,1282.3,0.951,158,SUM
853.4,1115.7,1037.1,1254.8,0.95,8,TI
1609.1,1720.1,1757.6,1819.8,0.95,91,BU
688.0,2078.2,832.3,2175.7,0.949,158,SUM
245.2,999.4,419.2,1096.5,0.948,16,BA
1164.9,1481.3,1348.8,1580.4,0.948,125,|PIRIG×ZA|
1126.4,702.0,1304.0,805.9,0.948,90,ME
737.3,3512.9,876.4,3627.4,0.947,83,LAL
1658.8,2231.1,1763.2,2345.8,0.947,11,A
433.8,1876.2,599.5,1983.9,0.947,52,BI
1207.7,4269.3,1351.1,4384.4,0.947,24,MU
1177.4,1944.2,1340.9,2049.9,0.947,98,E
1211.5,3158.0,1387.0,3273.7,0.947,92,NI
895.8,368.8,1093.4,471.4,0.946,50,U₂
856.9,3516.2,1079.0,3614.0,0.944,38,UnclearSign
534.1,200.9,754.9,312.6,0.944,83,LAL
48.5,1907.0,177.6,2026.7,0.944,65,LU₂
1296.3,1296.9,1420.0,1403.3,0.942,5,GAR
508.5,4570.9,604.5,4685.5,0.942,61,KAK
1340.9,1930.1,1544.6,2041.8,0.94,167,MUŠ
1124.4,1669.2,1320.3,1771.5,0.939,90,ME
1083.6,4283.7,1206.8,4399.9,0.938,21,MA
737.5,547.9,890.3,647.9,0.937,84,KID
183.2,4587.9,295.0,4704.6,0.937,6,GAL
636.1,3963.7,743.1,4058.4,0.937,11,A
991.4,881.1,1124.4,980.9,0.936,97,U
999.1,1488.3,1177.3,1589.2,0.936,4,TA
1025.9,1224.0,1167.6,1316.1,0.935,97,U
377.3,1427.9,545.5,1523.5,0.935,65,LU₂
409.1,981.9,536.3,1091.4,0.935,26,ŠU₂
906.9,450.1,1081.9,566.9,0.934,98,E
986.3,1766.2,1125.7,1857.1,0.934,97,U
1508.7,3672.3,1741.8,3771.7,0.934,38,UnclearSign
452.5,449.6,651.8,567.5,0.934,49,IGI
986.0,1676.3,1117.3,1769.6,0.934,97,U
1167.4,1220.4,1318.7,1328.3,0.934,90,ME
268.4,3516.2,524.9,3609.9,0.934,38,UnclearSign
307.0,1176.9,464.1,1279.3,0.934,8,TI
132.8,1530.9,253.0,1631.4,0.931,50,U₂
905.4,4557.3,1013.0,4673.0,0.928,26,ŠU₂
607.1,542.7,748.5,659.3,0.927,29,SI
531.8,4046.7,671.7,4149.1,0.927,52,BI
736.5,3337.3,862.0,3430.1,0.926,34,NA
205.4,4433.9,339.3,4567.3,0.926,38,UnclearSign
759.9,275.8,911.3,398.1,0.926,154,UN
