x0,y0,x1,y1,score,label,sign
350.5,753.2,581.5,880.1,0.987,42,AK
139.4,240.9,278.6,385.5,0.984,139,DUB
216.7,515.7,367.5,652.0,0.974,120,BAL
824.8,238.4,908.3,349.8,0.973,106,|U.U.U|
625.2,501.2,778.8,623.0,0.972,52,BI
110.4,528.8,242.0,642.9,0.97,51,ŠA₃
1266.6,727.8,1490.2,867.6,0.969,87,RU
973.6,505.8,1153.2,633.9,0.961,92,NI
429.9,227.8,567.8,384.3,0.959,15,IŠ
513.1,501.7,648.2,633.5,0.958,85,GABA
345.7,499.0,499.7,654.8,0.956,120,BAL
552.9,748.4,659.0,870.8,0.95,97,U
638.4,748.5,788.7,877.1,0.95,33,AN
595.1,224.3,727.3,363.0,0.949,24,MU
759.2,728.6,1088.3,887.1,0.948,38,UnclearSign
866.5,507.1,996.8,631.7,0.944,116,MEŠ
1054.4,729.1,1207.0,868.1,0.944,24,MU
697.5,218.7,842.0,360.7,0.94,39,|HI×BAD|
236.9,770.8,373.2,883.9,0.939,33,AN
538.5,242.6,611.7,363.0,0.939,81,TAR
479.4,511.7,540.2,661.4,0.928,23,DIŠ
762.0,501.1,876.9,642.2,0.912,33,AN
340.2,246.8,395.8,399.7,0.91,23,DIŠ
93.4,767.9,253.0,889.4,0.901,24,MU
1177.6,735.6,1305.7,860.6,0.835,143,KUR
364.2,243.1,469.1,391.5,0.769,33,AN
245.1,239.5,387.7,388.7,0.727,136,PI
1474.0,760.2,1551.5,867.9,0.716,3,LA
