column,line_index,line_label,primed,is_first_line,sparse,n_signs,ax0,ay0,ax1,ay1,thickness,tilt_deg
single,36,,,True,True,2,102.9,196.1,271.2,164.8,102.6,-10.5
single,38,2',True,False,False,4,97.8,322.1,370.1,214.0,118.6,-21.6
single,39,3',True,False,False,4,90.9,418.4,479.4,277.2,137.9,-20.0
single,40,4',True,False,False,5,90.9,499.9,1028.7,281.2,146.6,-13.1
single,41,5',True,False,False,8,81.8,604.8,1295.8,339.6,157.1,-12.3
single,43,6',True,False,False,13,66.6,738.8,1417.2,492.1,139.6,-10.4
single,44,7',True,False,False,6,588.6,731.8,1581.1,617.5,153.6,-6.6
single,45,8',True,False,False,7,57.5,989.0,1414.2,708.9,164.0,-11.7
single,46,9',True,False,False,6,54.5,1096.5,1678.2,809.7,153.6,-10.0
single,47,10',True,False,False,8,57.5,1216.0,1738.9,915.8,160.6,-10.1
single,49,11',True,False,False,17,63.6,1359.8,1708.2,1053.0,137.5,-10.6
single,50,12',True,False,False,12,66.4,1473.2,1392.4,1220.9,143.9,-10.8
single,52,13',True,False,False,6,64.1,1616.0,661.8,1504.7,140.0,-10.5
single,53,14',True,False,False,7,65.9,1737.6,1004.1,1555.6,154.1,-11.0
single,54,15',True,False,False,4,87.9,1856.4,767.8,1735.3,168.1,-10.1
single,55,16',True,False,False,8,86.6,1983.9,1574.5,1716.5,161.1,-10.2
single,58,19',True,False,False,13,88.0,2120.1,2071.6,1809.5,154.1,-8.9
single,61,20',True,False,False,17,83.1,2276.9,2157.4,1954.8,140.1,-8.8
single,62,21',True,False,False,4,1527.9,2162.7,2130.2,2040.5,151.9,-11.5
single,65,22',True,False,False,12,118.3,2809.9,2046.8,2516.4,152.8,-8.7
