column,line_index,line_label,primed,is_first_line,sparse,n_signs,ax0,ay0,ax1,ay1,thickness,tilt_deg
single,1,1',True,True,True,1,943.4,123.6,987.1,121.8,60.3,-2.3
single,2,2',True,False,True,2,889.5,183.0,985.0,179.1,72.1,-2.3
single,3,3',True,False,True,2,861.3,238.3,985.0,233.2,84.0,-2.3
single,4,4',True,False,True,2,785.2,299.1,968.1,291.6,82.2,-2.3
single,5,5',True,False,False,3,674.2,348.3,974.0,338.1,67.3,-1.9
single,6,6',True,False,False,11,112.3,421.9,965.1,397.4,72.0,-1.6
single,7,7',True,False,False,7,121.6,478.3,972.5,453.5,92.8,-1.7
single,8,8',True,False,False,3,385.2,522.7,965.1,511.3,91.1,-1.1
single,9,9',True,False,False,3,380.8,575.0,969.6,566.8,86.9,-0.8
single,10,10',True,False,False,6,107.9,641.6,926.8,618.7,88.8,-1.6
single,11,11',True,False,False,6,91.9,703.1,926.8,665.7,84.9,-2.6
single,12,12',True,False,False,7,55.2,762.0,940.9,725.8,93.0,-2.3
single,13,13',True,False,False,4,105.0,813.5,944.7,783.1,82.7,-2.1
single,14,14',True,False,False,9,98.3,871.9,936.7,846.2,90.9,-1.8
single,15,15',True,False,False,6,99.4,926.0,770.6,905.0,83.1,-1.8
single,16,16',True,False,False,13,131.1,988.8,932.0,956.1,97.9,-2.3
single,17,17',True,False,False,3,358.0,1042.8,928.7,1011.3,90.3,-3.2
single,18,18',True,False,False,5,244.0,1106.1,925.7,1063.3,86.8,-3.6
single,19,19',True,False,False,5,261.3,1157.9,930.9,1120.2,85.9,-3.2
single,20,20',True,False,False,4,252.7,1218.6,913.8,1179.3,91.0,-3.4
single,21,21',True,False,False,4,249.3,1278.9,914.5,1235.7,87.9,-3.7
single,22,22',True,False,False,4,218.6,1338.3,903.8,1288.7,91.8,-4.1
single,23,23',True,False,False,5,199.7,1397.8,898.5,1359.4,89.1,-3.1
single,24,24',True,False,False,8,252.1,1461.6,796.3,1438.2,84.9,-2.5
single,25,25',True,False,False,3,366.2,1522.2,713.9,1498.4,88.3,-3.9
single,26,26',True,False,True,2,432.4,1571.2,591.4,1564.7,84.6,-2.3
