x0,y0,x1,y1,score,label,sign
1786.6,689.5,2196.1,880.4,0.982,169,|IGI.RI|
1292.9,1972.5,1589.1,2178.3,0.976,81,TAR
2008.7,1548.5,2258.8,1714.1,0.974,21,MA
1162.1,494.5,1445.1,685.9,0.973,81,TAR
2086.4,1323.3,2384.4,1565.4,0.968,3,LA
1030.0,2407.9,1326.3,2629.6,0.967,24,MU
714.0,1613.8,967.4,1779.4,0.967,21,MA
1914.1,2556.3,2257.7,2748.8,0.964,50,U₂
926.3,1789.5,1146.6,1980.2,0.964,7,I
562.8,252.8,866.4,535.9,0.962,98,E
1799.0,2114.5,2068.6,2338.0,0.962,63,TUR
2071.9,3411.6,2414.2,3672.8,0.961,0,TU
1795.5,923.8,1980.3,1100.9,0.96,109,NU
633.8,3817.1,988.1,4023.3,0.959,149,HU
1139.9,711.5,1500.5,917.1,0.959,86,KA
338.1,955.8,604.8,1192.4,0.957,34,NA
1911.4,1728.5,2226.8,1912.3,0.956,145,|IGI.DIB|
1546.2,1374.5,1769.4,1561.1,0.955,49,IGI
545.7,1193.5,744.5,1407.7,0.955,37,UD
2039.9,2802.7,2249.2,3022.0,0.954,7,I
1874.2,3922.0,2295.3,4199.8,0.952,108,NAM
1611.5,4020.7,1883.9,4218.0,0.951,44,DIN
1366.7,2411.6,1552.0,2631.6,0.951,16,BA
1607.6,2156.8,1790.1,2365.9,0.951,37,UD
510.6,1608.7,705.4,1796.5,0.951,37,UD
1858.6,3738.5,2051.7,3976.0,0.95,11,A
2094.0,1885.9,2313.0,2097.5,0.949,37,UD
517.6,2211.4,757.3,2442.6,0.947,92,NI
219.9,511.4,566.0,743.7,0.946,145,|IGI.DIB|
1742.8,3457.0,2046.9,3693.6,0.946,166,MAR
1164.1,1762.4,1386.9,1984.3,0.945,45,KI
953.8,915.7,1261.9,1131.2,0.944,1,|U.GUD|
344.5,2031.0,706.5,2234.3,0.943,116,MEŠ
1655.8,1715.5,1907.3,1938.3,0.94,20,|GUD×KUR|
1816.9,1333.2,2050.4,1528.9,0.937,7,I
1538.6,944.5,1776.3,1115.7,0.937,71,ŠU
987.6,4023.2,1275.8,4226.4,0.937,92,NI
606.8,930.5,944.7,1153.5,0.936,91,BU
1130.8,1147.9,1405.1,1358.2,0.936,92,NI
184.3,2066.6,337.1,2275.5,0.935,63,TUR
770.8,1403.3,1008.3,1605.1,0.934,98,E
2094.9,3701.4,2306.4,3935.5,0.931,11,A
998.6,1973.0,1263.3,2201.3,0.931,136,PI
1264.1,937.9,1543.3,1129.1,0.929,12,DI
946.5,4236.9,1330.2,4456.5,0.929,73,IM
1766.8,256.1,2004.0,458.7,0.928,7,I
672.2,4024.7,943.7,4204.8,0.925,92,NI
2124.1,2273.7,2330.9,2500.1,0.925,63,TUR
182.4,2730.6,497.6,2954.0,0.925,55,ZI
1810.9,1137.2,2020.7,1334.7,0.922,104,HA
2039.4,258.8,2321.8,468.0,0.92,3,LA
2113.6,458.0,2306.1,654.1,0.92,37,UD
1832.9,4174.5,2289.8,4436.9,0.92,167,MUŠ
374.2,1411.6,687.2,1618.3,0.916,116,MEŠ
184.2,1444.7,367.4,1644.0,0.915,63,TUR
1315.9,1366.1,1547.1,1581.3,0.912,20,|GUD×KUR|
2044.4,3154.5,2418.5,3407.1,0.912,38,UnclearSign
955.8,3584.3,1289.3,3788.1,0.912,44,DIN
525.8,2713.8,791.8,2940.4,0.91,7,I
1498.2,687.1,1776.8,896.4,0.91,34,NA
1827.4,2319.9,2110.8,2562.6,0.909,142,A₂
1651.1,1540.3,1985.5,1726.4,0.908,69,|ŠEŠ.KI|
2011.7,898.0,2305.8,1117.8,0.908,55,ZI
2268.5,1721.1,2443.5,1891.3,0.903,33,AN
2039.5,1116.2,2385.9,1321.7,0.893,55,ZI
1564.7,2372.3,1810.2,2598.9,0.893,92,NI
1507.5,3796.8,1814.0,3987.1,0.892,33,AN
1833.5,1925.1,2071.8,2097.6,0.889,33,AN
201.3,4195.0,450.2,4417.4,0.888,49,IGI
195.6,982.2,347.4,1183.5,0.886,7,I
1441.7,1139.3,1769.0,1367.5,0.884,145,|IGI.DIB|
844.2,507.4,1086.8,722.9,0.884,136,PI
292.6,2971.8,536.3,3183.9,0.883,149,HU
204.8,3586.9,452.4,3801.9,0.882,49,IGI
2255.1,2778.9,2442.3,3028.7,0.881,74,RA
184.1,1228.6,302.5,1416.4,0.878,23,DIŠ
1407.0,1773.2,1643.7,1976.7,0.875,88,ŠA
1011.3,3808.6,1295.4,4013.5,0.872,16,BA
582.6,2448.7,1039.2,2677.8,0.865,131,|EN.ZU|
485.0,1788.2,907.8,2019.5,0.864,131,|EN.ZU|
668.2,4232.5,933.6,4456.5,0.861,33,AN
331.8,2262.9,512.2,2480.2,0.86,10,ZA
542.0,2978.1,682.8,3233.2,0.853,11,A
2077.4,2114.8,2296.6,2282.6,0.832,33,AN
1084.8,2204.6,1392.5,2401.4,0.829,86,KA
1411.0,4217.2,1790.8,4458.4,0.818,34,NA
2258.3,1536.1,2444.1,1706.7,0.808,33,AN
1390.5,2184.3,1600.5,2372.0,0.805,33,AN
1369.6,4024.9,1592.9,4212.1,0.787,7,I
1853.4,484.2,2103.6,653.6,0.786,33,AN
1490.6,274.5,1745.4,512.4,0.778,49,IGI
2297.5,2070.2,2421.6,2259.8,0.766,37,UD
872.2,285.1,1220.3,503.8,0.766,4,TA
1004.2,1382.1,1303.5,1587.2,0.758,4,TA
221.3,753.7,451.4,962.4,0.734,63,TUR
404.5,740.1,722.6,940.7,0.725,116,MEŠ
1252.8,289.7,1487.0,506.7,0.69,20,|GUD×KUR|
2311.6,885.6,2434.7,1089.5,0.682,7,I
167.4,2312.3,274.0,2495.1,0.665,23,DIŠ
408.0,731.3,720.6,947.2,0.659,116,MEŠ
