column,line_index,line_label,primed,is_first_line,sparse,n_signs,ax0,ay0,ax1,ay1,thickness,tilt_deg
single,1,1,False,True,False,6,570.4,391.6,2330.1,355.6,228.8,-1.2
single,3,2,False,False,False,5,234.0,611.5,2314.1,564.3,202.7,-1.3
single,4,3,False,False,False,6,212.5,863.6,3103.9,741.3,246.4,-2.4
single,5,4,False,False,False,10,195.5,1079.5,3257.3,944.6,247.1,-2.5
single,6,5,False,False,False,10,191.1,1313.9,3523.2,1158.4,241.4,-2.7
single,8,6,False,False,False,8,170.8,1532.8,2391.0,1427.4,245.3,-2.7
single,9,7,False,False,False,7,293.7,1713.4,2447.1,1631.3,195.2,-2.2
single,10,8,False,False,False,11,165.0,1944.7,3597.6,1773.4,245.5,-2.9
single,11,9,False,False,False,6,181.8,2190.5,2363.5,1983.0,251.6,-5.4
single,12,10,False,False,False,11,175.2,2406.6,3447.4,2083.0,250.2,-5.6
single,13,11,False,False,False,12,175.6,2621.1,3579.2,2318.0,258.3,-5.1
single,14,12,False,False,False,3,174.4,2865.0,2264.8,2653.0,254.8,-5.8
single,15,13,False,False,False,6,299.6,3104.1,3555.7,2818.6,266.7,-5.0
single,18,14,False,False,True,2,1810.0,3321.0,2405.4,3292.7,260.0,-2.7
single,20,15,False,False,False,4,219.3,3743.6,2397.2,3544.9,275.1,-5.2
single,21,16,False,False,False,5,617.7,3955.1,2325.7,3829.1,233.7,-4.2
single,22,17,False,False,False,6,204.1,4131.4,2319.6,4093.6,235.6,-1.0
single,23,18,False,False,False,5,191.5,4331.7,2308.3,4346.3,286.3,0.4
