column,line_index,line_label,primed,is_first_line,sparse,n_signs,ax0,ay0,ax1,ay1,thickness,tilt_deg
single,1,1,False,True,True,2,379.2,306.9,895.6,251.2,388.2,-6.2
single,3,2,False,False,True,2,325.0,545.0,1048.6,466.9,328.8,-6.2
single,5,3,False,False,False,6,99.2,756.1,1331.9,720.7,335.0,-1.6
single,7,4,False,False,False,3,106.7,1032.9,1023.6,947.9,297.8,-5.3
single,9,5,False,False,False,8,135.0,1240.5,1545.9,1146.2,303.9,-3.8
single,11,6,False,False,True,1,756.4,1457.9,1040.0,1427.3,304.1,-6.2
single,13,7,False,False,False,3,516.7,1685.1,1038.1,1638.7,317.2,-5.1
single,15,8,False,False,False,3,716.4,1931.0,1617.3,1802.8,296.7,-8.1
single,17,9,False,False,True,2,566.0,2193.4,1038.1,2142.4,356.9,-6.2
single,19,10,False,False,True,2,1132.8,2356.6,1613.2,2304.7,294.2,-6.2
single,23,12,False,False,False,4,205.5,2933.9,947.5,2840.3,281.2,-7.2
single,25,13,False,False,False,5,211.1,3123.1,1314.8,3037.3,302.1,-4.4
single,27,14,False,False,False,6,197.1,3388.4,1860.4,3170.9,262.8,-7.5
single,29,15,False,False,False,8,188.7,3635.1,1944.6,3386.0,292.2,-8.1
single,31,16,False,False,False,4,1000.1,3739.6,2080.8,3622.8,278.6,-6.2
single,33,17,False,False,False,6,420.7,4050.6,1879.1,3892.6,295.5,-6.2
single,35,18,False,False,True,1,1249.2,4191.9,1514.0,4163.2,315.5,-6.2
