column,line_index,line_label,primed,is_first_line,sparse,n_signs,ax0,ay0,ax1,ay1,thickness,tilt_deg
single,38,1,False,True,False,5,490.4,257.7,1892.5,215.8,339.3,-1.7
single,40,2,False,False,False,8,74.3,532.9,1949.2,400.0,313.9,-4.1
single,42,3,False,False,False,8,81.7,809.8,1965.6,623.3,310.4,-5.7
single,44,4,False,False,False,9,101.0,1024.9,2551.9,785.9,343.6,-5.6
single,46,5,False,False,False,7,129.2,1286.5,2016.0,1045.7,321.3,-7.3
single,48,6,False,False,False,10,128.4,1565.0,2505.2,1197.8,300.7,-8.8
single,50,7,False,False,False,6,358.4,1752.4,1719.9,1583.1,349.4,-7.1
single,52,8,False,False,False,7,142.4,2024.1,3282.7,1609.3,323.1,-7.5
single,54,9,False,False,False,8,179.6,2285.6,2331.3,1955.1,323.9,-8.7
single,56,10,False,False,False,8,193.9,2540.5,2245.3,2273.2,356.7,-7.4
single,60,11,False,False,False,6,606.4,3119.8,2647.9,2764.4,366.9,-9.9
single,61,12,False,False,False,6,659.5,3396.3,2414.1,3070.5,341.3,-10.5
