x0,y0,x1,y1,score,label,sign
1610.4,510.7,1948.0,727.5,0.985,124,SA
2319.0,1278.7,2814.9,1598.8,0.973,55,ZI
956.6,1113.3,1351.5,1386.8,0.972,104,HA
1487.9,257.3,1812.5,500.7,0.972,142,A₂
1196.5,1368.9,1714.9,1708.6,0.972,86,KA
1905.1,1333.2,2188.7,1578.3,0.97,7,I
3342.3,1244.3,3850.8,1499.7,0.97,112,IB
3372.9,962.3,3880.5,1190.5,0.969,21,MA
566.2,1468.8,934.7,1727.7,0.969,1,|U.GUD|
1880.4,731.4,2185.6,990.0,0.966,114,KU
744.7,817.1,1029.0,1114.8,0.965,95,PA
195.1,1208.9,481.2,1479.3,0.964,100,GIŠ
192.7,619.2,508.7,870.2,0.961,65,LU₂
3484.5,710.2,3885.2,910.4,0.96,21,MA
734.8,341.9,941.0,559.7,0.96,114,KU
173.2,930.3,385.7,1207.2,0.958,7,I
515.0,594.7,847.4,813.3,0.956,123,PAP
1178.8,296.8,1476.9,497.6,0.955,13,MI
1133.5,758.2,1543.7,1065.8,0.952,74,RA
3119.1,727.1,3452.8,962.4,0.95,113,UM
1847.0,234.2,2153.1,461.6,0.949,119,DIM
2702.4,194.5,3101.2,422.2,0.944,4,TA
1992.5,478.5,2428.4,699.3,0.943,9,LI
475.6,329.8,711.2,572.9,0.934,100,GIŠ
257.2,364.8,448.3,603.3,0.934,35,BAD
2434.5,477.3,2930.0,689.7,0.923,13,MI
210.6,1492.1,518.1,1762.2,0.917,91,BU
540.0,1182.9,790.2,1448.2,0.892,10,ZA
419.5,870.3,703.1,1141.4,0.877,88,ŠA
855.2,567.2,1049.5,765.7,0.873,48,AŠ
170.4,933.2,389.9,1204.9,0.327,7,I
