x0,y0,x1,y1,score,label,sign
921.0,369.5,1290.2,626.0,0.962,3,LA
701.8,586.3,1251.6,823.9,0.961,79,IN
1344.8,352.8,1692.6,575.6,0.952,52,BI
1270.4,115.9,1562.8,345.0,0.933,52,BI
833.9,124.5,1007.0,343.8,0.912,109,NU
1224.5,770.9,1410.8,967.7,0.908,109,NU
505.1,376.6,920.9,609.8,0.899,43,LUGAL
249.7,396.0,520.3,656.7,0.888,24,MU
935.3,798.0,1213.2,973.8,0.871,71,ŠU
281.1,188.0,614.0,417.6,0.826,38,UnclearSign
1374.9,559.7,1837.7,794.6,0.764,38,UnclearSign
126.6,714.2,400.5,901.0,0.757,49,IGI
1406.6,794.0,1662.9,982.5,0.729,91,BU
593.8,123.5,847.0,378.5,0.634,24,MU
438.5,788.3,610.6,966.8,0.583,11,A
1666.0,781.3,1918.9,936.0,0.495,33,AN
1575.6,172.6,1806.9,382.9,0.355,11,A
999.0,105.3,1267.4,319.4,0.339,109,NU
