x0,y0,x1,y1,score,label,sign
1248.0,2093.1,1602.3,2394.5,0.981,52,BI
1121.1,1239.0,1540.6,1495.5,0.981,20,|GUD×KUR|
420.6,2803.9,663.6,3061.2,0.98,123,PAP
619.4,2381.7,1027.3,2655.8,0.98,46,DUN₃@g
415.7,190.1,871.9,487.9,0.977,140,SAR
1187.0,1687.9,1596.6,2012.1,0.976,108,NAM
662.7,2142.4,971.4,2412.3,0.975,155,TIL
160.4,895.5,530.4,1119.1,0.974,22,E₂
179.0,2237.6,693.8,2479.2,0.972,160,|NINDA₂×ŠE|
1051.4,1009.2,1389.3,1296.9,0.971,54,ŠE
1082.0,607.5,1327.1,861.9,0.971,7,I
972.4,2377.9,1412.5,2716.8,0.97,47,KU₃
1054.8,811.7,1458.9,1049.1,0.968,20,|GUD×KUR|
192.3,462.0,519.4,718.1,0.966,142,A₂
794.1,628.5,1112.6,856.8,0.964,92,NI
465.0,1741.6,924.6,2058.3,0.962,120,BAL
1279.1,589.7,1629.1,882.0,0.962,45,KI
1202.4,2697.4,1428.3,3026.3,0.962,109,NU
871.2,1693.4,1215.5,1985.7,0.96,24,MU
131.5,1841.5,386.2,2103.7,0.955,23,DIŠ
896.8,1961.5,1339.2,2191.4,0.955,49,IGI
1473.3,1888.0,1985.7,2132.5,0.953,160,|NINDA₂×ŠE|
167.3,2438.6,614.8,2675.7,0.951,38,UnclearSign
684.7,2577.6,1103.4,2824.3,0.95,34,NA
118.7,2002.5,758.8,2283.4,0.95,79,IN
503.7,462.8,859.4,699.2,0.948,22,E₂
504.1,1296.3,821.5,1569.7,0.948,34,NA
157.0,1328.5,520.8,1606.3,0.948,45,KI
625.9,2767.1,859.5,3133.8,0.946,153,EŠ₂
778.9,829.6,1098.8,1115.1,0.945,74,RA
804.6,1282.0,1161.7,1547.7,0.943,74,RA
937.8,2142.3,1311.0,2413.2,0.942,3,LA
818.6,2760.5,1248.6,3126.2,0.938,86,KA
485.3,646.4,816.0,893.3,0.935,92,NI
939.3,2140.0,1310.4,2412.4,0.934,3,LA
1383.4,2673.3,1682.6,3030.6,0.934,113,UM
505.0,815.6,810.3,1120.8,0.932,34,NA
1221.1,429.2,1546.7,639.9,0.93,33,AN
174.5,1550.7,531.4,1859.7,0.926,145,|IGI.DIB|
1111.1,1442.8,1465.5,1748.4,0.914,54,ŠE
1596.0,2081.6,1917.9,2336.0,0.9,153,EŠ₂
1413.3,1403.2,1729.5,1717.2,0.886,90,ME
159.0,1085.5,523.7,1358.2,0.884,145,|IGI.DIB|
178.9,670.6,521.5,929.5,0.877,145,|IGI.DIB|
1473.4,2308.5,1819.4,2580.5,0.867,37,UD
178.0,2836.6,450.1,3073.3,0.855,37,UD
1686.1,933.7,2028.5,1234.3,0.845,98,E
168.3,235.7,415.0,506.7,0.838,23,DIŠ
478.5,1077.4,1076.3,1343.9,0.819,131,|EN.ZU|
1637.6,2651.9,1976.4,3011.0,0.781,22,E₂
1456.7,2504.7,1825.9,2703.5,0.771,83,LAL
850.7,406.1,1262.5,673.1,0.769,144,ARAD
823.2,196.1,1098.4,467.5,0.75,49,IGI
157.7,2632.5,718.1,2857.2,0.744,79,IN
493.3,1515.8,1121.5,1802.5,0.626,131,|EN.ZU|
1689.3,1370.2,1988.5,1667.9,0.578,153,EŠ₂
556.7,1553.7,692.7,1690.7,0.546,33,AN
1580.9,1176.8,2034.4,1428.7,0.546,2,TUM
522.8,1109.4,673.2,1233.8,0.449,33,AN
1579.5,1649.2,2012.3,1916.6,0.444,163,GAN
1579.5,1649.2,2012.3,1916.6,0.404,160,|NINDA₂×ŠE|
515.2,1112.3,666.0,1245.4,0.386,33,AN
523.4,1113.8,674.9,1238.6,0.381,33,AN
1580.9,1176.8,2034.4,1428.7,0.346,160,|NINDA₂×ŠE|
536.0,1552.2,686.9,1703.9,0.339,33,AN
1637.6,2651.9,1976.4,3011.0,0.304,78,GA₂
