x0,y0,x1,y1,score,label,sign
1810.2,2539.5,2225.8,2832.4,0.966,4,TA
271.0,1800.0,454.8,2085.3,0.965,23,DIŠ
1393.9,3199.9,1628.4,3473.2,0.957,10,ZA
745.9,2102.5,1028.9,2349.2,0.951,100,GIŠ
1585.1,1177.6,2069.2,1433.4,0.945,120,BAL
1622.8,2042.5,2063.1,2371.4,0.937,145,|IGI.DIB|
628.0,3198.4,1069.4,3520.2,0.937,1,|U.GUD|
486.4,2089.8,738.5,2389.7,0.937,34,NA
1347.2,2319.2,1850.3,2628.9,0.937,136,PI
292.0,2102.9,511.2,2382.4,0.936,11,A
259.1,1476.4,552.0,1776.0,0.931,45,KI
1132.5,2913.6,1536.1,3212.1,0.927,145,|IGI.DIB|
1883.8,1406.4,2073.8,1671.7,0.927,11,A
721.1,2350.9,1126.0,2627.7,0.927,56,GA
1272.6,1754.8,1651.2,2054.5,0.924,113,UM
306.1,2929.6,626.9,3191.7,0.909,100,GIŠ
727.2,1807.4,997.4,2055.3,0.902,100,GIŠ
1569.2,2909.2,1893.4,3164.6,0.898,100,GIŠ
1391.6,2588.1,1798.2,2913.5,0.895,2,TUM
675.3,914.7,860.8,1203.8,0.894,11,A
1152.5,911.7,1390.0,1196.9,0.888,136,PI
959.7,1759.1,1289.8,2071.0,0.855,87,RU
314.3,2398.1,605.9,2627.5,0.849,38,UnclearSign
563.9,3506.1,973.9,3754.9,0.845,38,UnclearSign
1109.3,3767.1,1489.2,4038.4,0.842,24,MU
434.1,1802.9,724.3,2080.9,0.842,45,KI
599.7,2914.1,1134.8,3227.9,0.827,38,UnclearSign
558.3,1471.2,881.8,1757.0,0.822,120,BAL
1546.9,889.8,1890.2,1200.5,0.819,145,|IGI.DIB|
1485.0,1418.2,1815.1,1763.9,0.809,135,EL
756.6,3718.6,1104.3,4006.0,0.808,57,SILA₃
1646.7,1754.1,1921.8,2052.4,0.775,63,TUR
1515.8,577.0,1797.1,900.3,0.759,104,HA
1515.6,3734.1,1852.7,4107.8,0.74,52,BI
1117.1,622.5,1498.8,900.0,0.732,30,|I.A|
1105.2,1436.0,1445.6,1735.8,0.726,35,BAD
980.9,3497.1,1182.9,3757.5,0.722,97,U
1093.4,625.4,1501.4,902.0,0.72,30,|I.A|
1927.4,1646.5,2145.4,2056.5,0.72,92,NI
254.8,388.9,507.9,622.5,0.709,48,AŠ
283.0,1228.3,482.2,1493.5,0.699,11,A
590.8,648.0,768.6,904.9,0.669,11,A
1455.7,3495.5,1708.9,3739.9,0.664,47,KU₃
750.3,641.3,1051.9,908.8,0.637,51,ŠA₃
304.4,2614.1,545.5,2903.5,0.602,5,GAR
1730.5,3459.7,2007.2,3720.2,0.601,37,UD
231.9,645.2,572.8,902.9,0.592,145,|IGI.DIB|
2098.4,2025.2,2437.0,2293.9,0.575,100,GIŠ
231.9,645.2,572.8,902.9,0.569,51,ŠA₃
309.4,3255.3,596.8,3497.1,0.544,50,U₂
308.4,3513.5,550.6,3730.1,0.534,48,AŠ
1903.2,869.8,2091.5,1150.8,0.512,63,TUR
896.4,336.3,1057.1,622.6,0.446,11,A
887.7,2606.1,1098.9,2916.0,0.413,11,A
1071.8,3202.7,1361.4,3494.6,0.41,7,I
2155.6,1609.0,2373.3,2026.1,0.408,92,NI
738.6,1218.9,1081.9,1467.7,0.408,5,GAR
1652.4,3144.8,1980.7,3451.1,0.39,56,GA
283.1,928.5,679.5,1203.9,0.383,142,A₂
1094.2,631.8,1498.6,899.4,0.367,30,|I.A|
2009.3,3421.1,2265.5,3720.2,0.363,92,NI
1723.0,3460.1,2001.6,3718.5,0.363,37,UD
1072.9,2554.8,1354.8,2913.2,0.337,89,|HI×NUN|
526.3,2624.9,888.3,2909.7,0.324,24,MU
2009.3,3421.1,2265.5,3720.2,0.314,121,IR
1085.9,623.9,1500.3,900.6,0.308,30,|I.A|
1651.8,3146.1,1978.8,3451.4,0.306,56,GA
1515.8,577.0,1797.1,900.3,0.301,38,UnclearSign
984.4,2082.3,1367.5,2388.2,0.301,27,EN
1916.7,831.8,2292.5,1148.1,0.301,142,A₂
