x0,y0,x1,y1,score,label,sign
166.3,1768.7,418.1,2079.4,0.972,49,IGI
161.5,2296.5,364.0,2536.6,0.966,23,DIŠ
165.4,2517.4,373.5,2774.8,0.961,23,DIŠ
1461.3,1257.5,1717.0,1568.8,0.961,7,I
159.1,2061.6,389.8,2327.2,0.961,23,DIŠ
170.6,2764.8,349.3,3043.5,0.957,23,DIŠ
1823.0,2764.1,2249.9,3095.0,0.951,17,LU
1060.3,512.2,1372.3,774.4,0.95,11,A
1640.2,1911.3,1986.7,2241.9,0.943,16,BA
1620.9,3055.5,1938.7,3421.4,0.941,92,NI
1689.8,1208.1,1959.7,1573.5,0.941,17,LU
1464.8,698.4,1871.8,1098.0,0.938,129,DAM
702.0,1340.6,974.5,1629.1,0.938,124,SA
167.3,3045.0,372.9,3346.2,0.921,23,DIŠ
1478.8,2217.2,1730.2,2540.6,0.917,6,GAL
1362.2,3110.7,1651.0,3421.7,0.915,33,AN
736.3,2549.9,972.5,2848.7,0.914,7,I
1288.4,1958.1,1659.5,2240.2,0.909,33,AN
1926.4,1161.0,2171.3,1552.2,0.905,34,NA
729.5,3375.7,1040.4,3771.0,0.903,92,NI
333.4,2274.1,658.7,2579.2,0.901,34,NA
211.4,588.4,442.3,874.5,0.897,7,I
789.9,3124.8,1109.5,3417.5,0.896,14,RI
568.0,827.9,843.5,1121.5,0.895,100,GIŠ
1670.9,3402.0,2085.9,3781.8,0.891,74,RA
1179.3,3864.3,1492.4,4191.7,0.89,37,UD
1076.3,3131.4,1415.0,3428.0,0.881,21,MA
1898.2,3043.4,2329.1,3417.0,0.88,71,ŠU
376.6,1360.3,731.0,1700.4,0.866,15,IŠ
677.0,1623.2,1018.8,2022.5,0.856,92,NI
617.5,2295.6,896.1,2568.0,0.853,52,BI
1124.2,2836.5,1557.0,3151.3,0.844,17,LU
423.9,542.8,794.3,856.5,0.809,9,LI
204.2,875.7,355.3,1155.7,0.807,23,DIŠ
391.3,2008.3,734.9,2327.4,0.801,112,IB
1454.5,2481.8,1750.6,2855.6,0.8,20,|GUD×KUR|
472.1,3415.2,735.6,3796.5,0.77,11,A
2021.1,1575.4,2299.6,1891.9,0.761,112,IB
306.5,2790.2,916.6,3116.5,0.702,148,IL
1193.8,1260.2,1484.9,1598.3,0.7,60,SU
409.6,1715.2,691.7,2050.3,0.696,92,NI
866.5,2264.5,1128.4,2537.6,0.685,33,AN
753.4,520.9,1076.0,816.3,0.684,45,KI
182.1,1107.5,399.0,1401.3,0.684,109,NU
1133.6,218.6,1488.9,523.3,0.676,120,BAL
793.1,790.8,1127.0,1090.0,0.673,87,RU
304.1,3093.8,819.4,3423.4,0.634,131,|EN.ZU|
421.5,3864.0,706.6,4157.9,0.593,41,AB
2089.9,2160.1,2497.8,2459.7,0.578,34,NA
1120.0,2225.3,1513.0,2538.1,0.578,53,GUR
236.0,3810.5,468.6,4158.0,0.562,40,|UD×(U.U.U)|
2126.4,951.9,2449.9,1263.2,0.558,6,GAL
1120.0,2225.3,1513.0,2538.1,0.472,129,DAM
509.4,276.4,856.6,565.7,0.469,22,E₂
578.5,1069.9,1016.4,1355.3,0.465,4,TA
1192.6,2528.8,1492.3,2849.2,0.441,88,ŠA
949.1,1307.8,1255.6,1620.0,0.432,20,|GUD×KUR|
509.4,276.4,856.6,565.7,0.427,46,DUN₃@g
1035.6,1011.9,1374.4,1295.7,0.395,93,IG
1016.2,1646.5,1393.3,2021.6,0.389,91,BU
707.8,3850.0,1224.9,4214.0,0.384,38,UnclearSign
1471.5,3854.3,1921.9,4154.7,0.383,38,UnclearSign
1889.6,3824.7,2260.2,4129.3,0.373,39,|HI×BAD|
946.4,1257.6,1484.1,1646.3,0.354,131,|EN.ZU|
1661.1,417.6,1971.9,710.1,0.339,71,ŠU
1082.5,748.8,1479.2,1055.0,0.335,113,UM
1981.0,1884.3,2493.5,2198.1,0.332,50,U₂
1774.4,1620.8,2049.0,1919.2,0.32,63,TUR
597.3,3080.2,831.9,3426.4,0.314,37,UD
677.4,1629.8,1017.1,1987.0,0.312,92,NI
949.5,2517.6,1244.3,2860.2,0.306,45,KI
