column,line_index,line_label,primed,is_first_line,sparse,n_signs,ax0,ay0,ax1,ay1,thickness,tilt_deg
single,3,2,False,True,False,4,602.3,781.9,1823.4,733.0,352.2,-2.3
single,4,3,False,False,False,5,270.7,1080.9,1917.0,1045.6,341.0,-1.2
single,5,4,False,False,False,4,239.8,1378.9,2089.3,1286.9,298.1,-2.8
single,6,5,False,False,False,6,258.2,1623.2,2034.1,1543.0,323.5,-2.6
single,7,6,False,False,False,8,291.3,1943.1,2368.7,1830.9,355.2,-3.1
single,8,7,False,False,False,6,295.0,2257.6,2442.3,2148.4,359.4,-2.9
single,9,8,False,False,False,4,320.7,2527.4,2468.0,2362.4,323.5,-4.4
single,10,9,False,False,False,5,302.3,2747.7,2173.9,2708.0,355.2,-1.2
single,10,,,False,True,1,839.1,2745.8,1092.8,2735.7,355.2,-2.3
single,11,10,False,False,False,4,328.1,3039.4,1868.7,3036.0,329.8,-0.1
single,12,11,False,False,False,6,272.9,3368.2,2298.9,3288.3,351.0,-2.3
single,13,12,False,False,False,6,548.7,3611.2,2479.0,3583.7,336.2,-0.8
single,13,,,False,True,1,993.6,3636.5,1195.8,3628.4,317.1,-2.3
single,14,,,False,True,1,328.1,3882.8,714.1,3867.4,376.3,-2.3
single,14,13,False,False,False,4,732.5,3885.9,2151.8,3901.4,348.8,0.6
