crop,face,tablet,script,side,line_no,n_lines,atf_line,atf_aligned,y_center,x0,y0,x1,y1,pitch_px,skew_deg,face_w,face_h,photo_crop_x0,photo_crop_y0,n_boxes
samples/ebl/AO.9073/lines/AO.9073__obverse__L01.jpg,AO.9073__obverse,AO.9073,NA,obverse,1,22,1',True,153.2,2029,97,2279,201,109.6,-2.06,3666,2772,222,1044,1
samples/ebl/AO.9073/lines/AO.9073__obverse__L02.jpg,AO.9073__obverse,AO.9073,NA,obverse,2,22,2',True,249.4,1436,201,2854,299,109.6,-2.06,3666,2772,222,1044,3
samples/ebl/AO.9073/lines/AO.9073__obverse__L03.jpg,AO.9073__obverse,AO.9073,NA,obverse,3,22,3',True,350.5,760,299,2855,454,109.6,-2.06,3666,2772,222,1044,6
samples/ebl/AO.9073/lines/AO.9073__obverse__L04.jpg,AO.9073__obverse,AO.9073,NA,obverse,4,22,4',True,554.6,950,454,1439,605,109.6,-2.06,3666,2772,222,1044,2
samples/ebl/AO.9073/lines/AO.9073__obverse__L05.jpg,AO.9073__obverse,AO.9073,NA,obverse,5,22,5',True,656.1,1136,605,2914,710,109.6,-2.06,3666,2772,222,1044,6
samples/ebl/AO.9073/lines/AO.9073__obverse__L06.jpg,AO.9073__obverse,AO.9073,NA,obverse,6,22,6',True,765.7,731,710,3185,817,109.6,-2.06,3666,2772,222,1044,8
samples/ebl/AO.9073/lines/AO.9073__obverse__L07.jpg,AO.9073__obverse,AO.9073,NA,obverse,7,22,7',True,869.1,868,817,3198,921,109.6,-2.06,3666,2772,222,1044,6
samples/ebl/AO.9073/lines/AO.9073__obverse__L08.jpg,AO.9073__obverse,AO.9073,NA,obverse,8,22,8',True,973.4,627,921,3312,1028,109.6,-2.06,3666,2772,222,1044,9
samples/ebl/AO.9073/lines/AO.9073__obverse__L09.jpg,AO.9073__obverse,AO.9073,NA,obverse,9,22,9',True,1084.5,631,1028,3433,1139,109.6,-2.06,3666,2772,222,1044,8
samples/ebl/AO.9073/lines/AO.9073__obverse__L10.jpg,AO.9073__obverse,AO.9073,NA,obverse,10,22,10',True,1194.6,644,1139,3275,1251,109.6,-2.06,3666,2772,222,1044,6
samples/ebl/AO.9073/lines/AO.9073__obverse__L11.jpg,AO.9073__obverse,AO.9073,NA,obverse,11,22,11',True,1309.0,865,1251,3222,1362,109.6,-2.06,3666,2772,222,1044,3
samples/ebl/AO.9073/lines/AO.9073__obverse__L12.jpg,AO.9073__obverse,AO.9073,NA,obverse,12,22,12',True,1415.1,674,1362,3017,1467,109.6,-2.06,3666,2772,222,1044,6
samples/ebl/AO.9073/lines/AO.9073__obverse__L13.jpg,AO.9073__obverse,AO.9073,NA,obverse,13,22,13',True,1519.9,895,1467,3261,1576,109.6,-2.06,3666,2772,222,1044,9
samples/ebl/AO.9073/lines/AO.9073__obverse__L14.jpg,AO.9073__obverse,AO.9073,NA,obverse,14,22,14',True,1633.1,1017,1576,3437,1689,109.6,-2.06,3666,2772,222,1044,7
samples/ebl/AO.9073/lines/AO.9073__obverse__L15.jpg,AO.9073__obverse,AO.9073,NA,obverse,15,22,15',True,1746.1,1110,1689,3340,1810,109.6,-2.06,3666,2772,222,1044,6
samples/ebl/AO.9073/lines/AO.9073__obverse__L16.jpg,AO.9073__obverse,AO.9073,NA,obverse,16,22,16',True,1874.4,772,1810,1450,1929,109.6,-2.06,3666,2772,222,1044,3
samples/ebl/AO.9073/lines/AO.9073__obverse__L17.jpg,AO.9073__obverse,AO.9073,NA,obverse,17,22,17',True,1985.1,965,1929,2416,2051,109.6,-2.06,3666,2772,222,1044,5
samples/ebl/AO.9073/lines/AO.9073__obverse__L18.jpg,AO.9073__obverse,AO.9073,NA,obverse,18,22,18',True,2118.7,1184,2051,1875,2189,109.6,-2.06,3666,2772,222,1044,3
samples/ebl/AO.9073/lines/AO.9073__obverse__L19.jpg,AO.9073__obverse,AO.9073,NA,obverse,19,22,19',True,2259.4,1103,2189,1581,2313,109.6,-2.06,3666,2772,222,1044,2
samples/ebl/AO.9073/lines/AO.9073__obverse__L20.jpg,AO.9073__obverse,AO.9073,NA,obverse,20,22,20',True,2367.6,627,2313,3437,2421,109.6,-2.06,3666,2772,222,1044,0
samples/ebl/AO.9073/lines/AO.9073__obverse__L21.jpg,AO.9073__obverse,AO.9073,NA,obverse,21,22,21',True,2475.9,627,2421,3437,2530,109.6,-2.06,3666,2772,222,1044,0
samples/ebl/AO.9073/lines/AO.9073__obverse__L22.jpg,AO.9073__obverse,AO.9073,NA,obverse,22,22,22',True,2584.1,1254,2530,1504,2639,109.6,-2.06,3666,2772,222,1044,1
samples/ebl/AO.9073/lines/AO.9073__reverse__L01.jpg,AO.9073__reverse,AO.9073,NA,reverse,1,16,1',True,169.2,511,75,2606,215,119.1,-2.06,3696,2652,162,5418,5
samples/ebl/AO.9073/lines/AO.9073__reverse__L02.jpg,AO.9073__reverse,AO.9073,NA,reverse,2,16,2',True,262.2,491,215,1629,318,119.1,-2.06,3696,2652,162,5418,5
samples/ebl/AO.9073/lines/AO.9073__reverse__L03.jpg,AO.9073__reverse,AO.9073,NA,reverse,3,16,3',True,375.3,546,318,2655,437,119.1,-2.06,3696,2652,162,5418,10
samples/ebl/AO.9073/lines/AO.9073__reverse__L04.jpg,AO.9073__reverse,AO.9073,NA,reverse,4,16,4',True,500.4,470,437,2466,559,119.1,-2.06,3696,2652,162,5418,5
samples/ebl/AO.9073/lines/AO.9073__reverse__L05.jpg,AO.9073__reverse,AO.9073,NA,reverse,5,16,5',True,619.5,2013,559,2282,668,119.1,-2.06,3696,2652,162,5418,1
samples/ebl/AO.9073/lines/AO.9073__reverse__L06.jpg,AO.9073__reverse,AO.9073,NA,reverse,6,16,6',True,716.9,440,668,1523,770,119.1,-2.06,3696,2652,162,5418,2
samples/ebl/AO.9073/lines/AO.9073__reverse__L07.jpg,AO.9073__reverse,AO.9073,NA,reverse,7,16,7',True,823.1,598,770,867,877,119.1,-2.06,3696,2652,162,5418,1
samples/ebl/AO.9073/lines/AO.9073__reverse__L08.jpg,AO.9073__reverse,AO.9073,NA,reverse,8,16,8',True,932.4,473,877,2331,992,119.1,-2.06,3696,2652,162,5418,5
