target,sign,prototype,init_score,finished,run
BM.42264__reverse__L02__S04__0x1202d,AN,AN,0.765,True,phase6_OB
HS.2067__reverse__L04__S01__0x12079,DIŠ,DISH,0.526,True,phase6_OB_first
HS.2371__obverse__L05__S01__0x1222b,MIN,MIN,0.734,True,phase6_OB_first
NBC.7278__reverse__L01__S01__0x12146,IGI,IGI,0.348,True,phase6_OB_first
YBC.13099__obverse__L02__S01__0x12227,MAŠ₂,MASH2,0.625,True,phase6_OB_first
YBC.4590__reverse__L11__S01__0x1214e,IM,IM,0.658,True,phase6_OB_first
YBC.5056__reverse__L02__S01__0x121fd,LU₂,LU2,0.711,True,phase6_OB_first
YBC.5722__reverse__L02__S01__0x12146,IGI,IGI,0.272,True,phase6_OB_first
YBC.6236__obverse__tablet__L03__S01__0x12009,A₂,A2,0.821,True,phase6_OB_first
YBC.7191__reverse__L01__S01__0x1222c,MU,MU,0.312,True,phase6_OB_first
