face,script,method,n_truth,n_pred,n_atf,recall,precision,first_err,count_ok,px_per_line,coverage
"1882,0323.102__face",NA,free,11,7,,0.5454545454545454,nan,nan,False,73.1,nan
"1882,0323.102__face",NA,comb,11,7,,0.5454545454545454,nan,nan,False,73.1,nan
"1882,0323.102__face",NA,dp,11,7,,0.5454545454545454,nan,nan,False,73.1,nan
"1879,0708.31__obverse",NA,free,3,7,13,0.0,nan,nan,False,56.2,0.23
"1879,0708.31__obverse",NA,comb,3,13,13,0.6666666666666666,nan,nan,True,56.2,0.23
"1879,0708.31__obverse",NA,dp,3,13,13,0.6666666666666666,nan,nan,True,56.2,0.23
"1879,0708.86__obverse",NA,free,19,13,19,0.6842105263157895,1.0,nan,False,108.9,1.0
"1879,0708.86__obverse",NA,comb,19,19,19,0.9473684210526315,0.9473684210526315,nan,True,108.9,1.0
"1879,0708.86__obverse",NA,dp,19,19,19,0.9473684210526315,0.9473684210526315,nan,True,108.9,1.0
"1882,0522.552__reverse",NA,free,14,6,14,0.2857142857142857,0.6666666666666666,nan,False,123.0,1.0
"1882,0522.552__reverse",NA,comb,14,14,14,0.7142857142857143,0.7142857142857143,nan,True,123.0,1.0
"1882,0522.552__reverse",NA,dp,14,14,14,0.7142857142857143,0.7142857142857143,nan,True,123.0,1.0
"1868,0523.2__face",NA,free,3,3,,0.0,nan,nan,False,64.1,nan
"1868,0523.2__face",NA,comb,3,3,,0.0,nan,nan,False,64.1,nan
"1868,0523.2__face",NA,dp,3,3,,0.0,nan,nan,False,64.1,nan
"1879,0708.232__obverse",NA,free,2,6,11,0.5,nan,nan,False,95.5,0.18
"1879,0708.232__obverse",NA,comb,2,11,11,1.0,nan,nan,True,95.5,0.18
"1879,0708.232__obverse",NA,dp,2,11,11,1.0,nan,nan,True,95.5,0.18
"1880,0719.194__face",NA,free,5,6,,0.8,nan,nan,False,93.7,nan
"1880,0719.194__face",NA,comb,5,6,,0.8,nan,nan,False,93.7,nan
"1880,0719.194__face",NA,dp,5,6,,0.8,nan,nan,False,93.7,nan
"1880,0719.281__obverse",NA,free,2,15,24,0.5,nan,nan,False,68.6,0.08
"1880,0719.281__obverse",NA,comb,2,24,24,1.0,nan,nan,True,68.6,0.08
"1880,0719.281__obverse",NA,dp,2,24,24,1.0,nan,nan,True,68.6,0.08
"1880,0719.281__reverse",NA,free,2,2,18,0.0,nan,nan,False,73.7,0.11
"1880,0719.281__reverse",NA,comb,2,18,18,1.0,nan,nan,True,73.7,0.11
"1880,0719.281__reverse",NA,dp,2,18,18,1.0,nan,nan,True,73.7,0.11
"1879,0708.86__reverse",NA,free,8,4,13,0.125,nan,4.739292364990689,False,107.4,0.62
"1879,0708.86__reverse",NA,comb,8,13,13,0.5,nan,5.718808193668529,True,107.4,0.62
"1879,0708.86__reverse",NA,dp,8,13,13,0.5,nan,4.775605214152701,True,107.4,0.62
3NT.442__reverse,OB,free,4,3,10,0.25,nan,nan,False,93.5,0.4
3NT.442__reverse,OB,comb,4,10,10,0.5,nan,nan,True,93.5,0.4
3NT.442__reverse,OB,dp,4,10,10,0.5,nan,nan,True,93.5,0.4
2NT.529__obverse,OB,free,3,6,4,0.0,nan,0.36102184445495156,False,288.8,0.75
2NT.529__obverse,OB,comb,3,4,4,0.3333333333333333,nan,3.0379609026266965,True,288.8,0.75
2NT.529__obverse,OB,dp,3,4,4,0.3333333333333333,nan,3.4046506533192176,True,288.8,0.75
BM.121042__face,NA,free,3,6,,0.3333333333333333,nan,nan,False,73.8,nan
BM.121042__face,NA,comb,3,6,,0.3333333333333333,nan,nan,False,73.8,nan
BM.121042__face,NA,dp,3,6,,0.3333333333333333,nan,nan,False,73.8,nan
BM.121131.A__face,NA,free,3,7,,1.0,nan,0.06695156695156679,False,35.1,nan
BM.121131.A__face,NA,comb,3,7,,1.0,nan,0.06695156695156679,False,35.1,nan
BM.121131.A__face,NA,dp,3,7,,1.0,nan,0.06695156695156679,False,35.1,nan
BM.131470__obverse,OB,free,10,10,12,0.7,nan,nan,False,119.1,0.83
BM.131470__obverse,OB,comb,10,12,12,0.9,nan,nan,True,119.1,0.83
BM.131470__obverse,OB,dp,10,12,12,0.9,nan,nan,True,119.1,0.83
BM.131470__reverse,OB,free,8,10,10,0.625,nan,nan,True,131.3,0.8
BM.131470__reverse,OB,comb,8,10,10,0.375,nan,nan,True,131.3,0.8
BM.131470__reverse,OB,dp,8,10,10,0.5,nan,nan,True,131.3,0.8
BM.131470__top,OB,free,2,4,2,0.5,0.25,nan,False,111.5,1.0
BM.131470__top,OB,comb,2,2,2,0.0,0.0,nan,True,111.5,1.0
BM.131470__top,OB,dp,2,2,2,0.0,0.0,nan,True,111.5,1.0
BM.131481__face,OB,free,27,8,,0.07407407407407407,nan,nan,False,112.9,nan
BM.131481__face,OB,comb,27,8,,0.07407407407407407,nan,nan,False,112.9,nan
BM.131481__face,OB,dp,27,8,,0.07407407407407407,nan,nan,False,112.9,nan
BM.123379__obverse,NA,free,3,14,11,1.0,nan,nan,False,68.8,0.27
BM.123379__obverse,NA,comb,3,11,11,0.6666666666666666,nan,nan,True,68.8,0.27
BM.123379__obverse,NA,dp,3,11,11,1.0,nan,nan,True,68.8,0.27
BM.131460__face,OB,free,30,4,,0.1,nan,8.162173573658654,False,105.9,nan
BM.131460__face,OB,comb,30,4,,0.1,nan,8.162173573658654,False,105.9,nan
BM.131460__face,OB,dp,30,4,,0.1,nan,8.162173573658654,False,105.9,nan
BM.109168__obverse,OB,free,2,5,25,0.0,nan,nan,False,80.9,0.08
BM.109168__obverse,OB,comb,2,25,25,0.5,nan,nan,True,80.9,0.08
BM.109168__obverse,OB,dp,2,25,25,0.0,nan,nan,True,80.9,0.08
BM.33161__obverse__tablet,OB,free,4,5,35,0.75,nan,0.9317073170731708,False,102.5,0.11
BM.33161__obverse__tablet,OB,comb,4,35,35,1.0,nan,1.3434146341463413,True,102.5,0.11
BM.33161__obverse__tablet,OB,dp,4,35,35,1.0,nan,1.078048780487805,True,102.5,0.11
BM.33161__reverse__tablet,OB,free,6,6,34,0.5,nan,nan,False,101.2,0.18
BM.33161__reverse__tablet,OB,comb,6,34,34,1.0,nan,nan,True,101.2,0.18
BM.33161__reverse__tablet,OB,dp,6,34,34,1.0,nan,nan,True,101.2,0.18
BM.134811__obverse,NA,free,2,7,12,0.5,nan,nan,False,93.5,0.17
BM.134811__obverse,NA,comb,2,12,12,1.0,nan,nan,True,93.5,0.17
BM.134811__obverse,NA,dp,2,12,12,1.0,nan,nan,True,93.5,0.17
BM.38765__obverse,OB,free,4,6,5,1.0,nan,nan,False,145.9,0.8
BM.38765__obverse,OB,comb,4,5,5,1.0,nan,nan,True,145.9,0.8
BM.38765__obverse,OB,dp,4,5,5,1.0,nan,nan,True,145.9,0.8
BM.39805__face,OB,free,5,9,,1.0,nan,nan,False,142.0,nan
BM.39805__face,OB,comb,5,9,,1.0,nan,nan,False,142.0,nan
BM.39805__face,OB,dp,5,9,,1.0,nan,nan,False,142.0,nan
BM.38325__obverse,OB,free,7,7,7,0.7142857142857143,0.7142857142857143,0.9133455703527963,True,169.6,1.0
BM.38325__obverse,OB,comb,7,7,7,0.7142857142857143,0.7142857142857143,0.9068597212961924,True,169.6,1.0
BM.38325__obverse,OB,dp,7,7,7,0.7142857142857143,0.7142857142857143,0.8402323628056264,True,169.6,1.0
BM.38325__reverse,OB,free,7,8,8,0.8571428571428571,nan,0.6044930801394135,True,152.6,0.88
