face,side,n_lines,atf_lines,count_diff,agreement,proximity,n_boxes,spacing_cv,confidence
P357953_reverse,reverse,4,,,,,0,1.099,0.0
P359165_reverse,reverse,5,,,,,1,0.984,0.016
P357933_reverse,reverse,4,,,0.0,,4,0.932,0.034
P357923_reverse,reverse,5,,,0.0,,4,0.654,0.173
P389548_obverse,obverse,4,,,0.0,0.182,11,0.635,0.182
P358292_reverse,reverse,5,,,0.0,,3,0.595,0.203
P358328_reverse,reverse,10,,,0.2,0.067,15,0.601,0.222
P357951_reverse,reverse,9,,,0.222,0.062,16,0.612,0.224
P250559_reverse,reverse,6,,,0.167,0.364,11,0.837,0.231
P357788_reverse,reverse,5,,,0.2,,3,0.721,0.24
P359385_obverse,obverse,10,,,0.2,0.0,7,0.473,0.242
P357470_reverse,reverse,5,,,0.0,0.0,5,0.26,0.247
P361080_reverse,reverse,4,,,0.25,0.0,9,0.508,0.247
P260351_reverse,reverse,5,,,0.0,0.0,5,0.217,0.261
P431270_obverse,obverse,5,,,0.2,0.0,10,0.414,0.262
P357942_reverse,reverse,5,,,,,0,0.731,0.269
P406213_reverse,reverse,5,,,0.4,0.3,10,0.892,0.269
P389653_obverse,obverse,9,,,0.0,,2,0.447,0.276
P357421_reverse,reverse,4,,,0.5,,3,0.929,0.286
P358270_reverse,reverse,7,,,,,0,0.705,0.295
P431273_obverse,obverse,10,,,0.1,0.067,15,0.28,0.295
P389628_reverse,reverse,6,,,0.167,,2,0.573,0.297
P389541_reverse,reverse,6,,,0.167,,4,0.571,0.298
P389674_obverse,obverse,6,,,0.0,0.0,5,0.106,0.298
P357748_reverse,reverse,6,,,0.0,0.077,13,0.176,0.3
P357954_reverse,reverse,6,6,0,0.0,0.0,7,0.085,0.305
P260359_obverse,obverse,8,,,0.125,0.125,8,0.329,0.307
P250572_reverse,reverse,6,,,0.333,0.517,29,0.925,0.308
P358288_obverse,obverse,7,7,0,0.0,0.0,14,0.067,0.311
P390653_obverse,obverse,6,,,0.333,0.341,44,0.741,0.311
P357935_reverse,reverse,10,,,,,0,0.687,0.313
P361151_reverse,reverse,9,9,0,0.0,0.0,15,0.06,0.313
P358697_left,left,3,3,0,0.0,0.0,5,0.059,0.314
P389663_obverse,obverse,9,,,0.111,0.062,16,0.233,0.314
P408043_obverse,obverse,10,,,0.0,0.1,10,0.158,0.314
P357894_reverse,reverse,5,,,0.2,0.0,9,0.251,0.316
P358266_obverse,obverse,8,8,0,0.0,0.034,29,0.083,0.317
P358933_reverse,reverse,9,,,0.222,0.238,21,0.503,0.319
P250577_reverse,reverse,7,,,0.429,0.382,55,0.848,0.321
P357698_reverse,reverse,8,8,0,0.0,0.033,30,0.07,0.321
P359176_reverse,reverse,5,5,0,0.0,0.0,9,0.038,0.321
P250571_obverse,obverse,3,,,0.333,0.16,25,0.525,0.323
P357725_reverse,reverse,12,12,0,0.0,0.02,51,0.052,0.323
P358205_obverse,obverse,7,7,0,0.0,0.0,7,0.032,0.323
P359305_obverse,obverse,6,6,0,0.0,0.0,15,0.031,0.323
P359305_reverse,reverse,6,6,0,0.0,0.0,14,0.032,0.323
