face,method,split,n_truth,n_pred,recall,precision,first_err,count_ok,px_per_line
P260352_obverse,dp,test,7,7,1.0,1.0,0.0,True,88.5
P260352_obverse,comb,test,7,7,0.8571428571428571,0.8571428571428571,1.07909604519774,True,88.5
P260352_obverse,det_n,test,7,7,0.14285714285714285,0.14285714285714285,0.6971292957102785,True,88.5
P260352_obverse,det,test,7,7,0.14285714285714285,0.14285714285714285,0.6971292957102785,True,88.5
P260364_reverse,dp,test,16,19,0.8125,0.6842105263157895,1.3296398891966772,False,72.19999999999993
P260364_reverse,comb,test,16,19,0.75,0.631578947368421,0.588642659279779,False,72.19999999999993
P260364_reverse,det_n,test,16,19,0.5,0.42105263157894735,0.33926786392313363,False,72.19999999999993
P260364_reverse,det,test,16,14,0.5,0.5714285714285714,0.33926786392313363,False,72.19999999999993
P333883_obverse,dp,test,15,19,0.8666666666666667,0.6842105263157895,1.4385964912280702,False,57.0
P333883_obverse,comb,test,15,19,0.8,0.631578947368421,0.6666666666666666,False,57.0
P333883_obverse,det_n,test,15,19,0.5333333333333333,0.42105263157894735,0.6878486371921092,False,57.0
P333883_obverse,det,test,15,8,0.26666666666666666,0.5,0.6878486371921092,False,57.0
P333917_reverse,dp,tune,16,16,1.0,1.0,0.0,True,43.0
P333917_reverse,comb,tune,16,16,0.9375,0.9375,1.302325581395349,True,43.0
P333917_reverse,det_n,tune,16,16,0.875,0.875,0.26745614205799617,True,43.0
P333917_reverse,det,tune,16,14,0.8125,0.9285714285714286,0.26745614205799617,False,43.0
P333939_obverse,dp,tune,11,12,0.9090909090909091,0.8333333333333334,0.30357142857142855,False,56.0
P333939_obverse,comb,tune,11,12,0.9090909090909091,0.8333333333333334,0.25,False,56.0
P333939_obverse,det_n,tune,11,12,0.2727272727272727,0.25,0.7643643791101107,False,56.0
P333939_obverse,det,tune,11,9,0.2727272727272727,0.3333333333333333,0.7643643791101107,False,56.0
P333942_reverse,dp,tune,11,11,1.0,1.0,0.0,True,43.5
P333942_reverse,comb,tune,11,11,1.0,1.0,0.09195402298850575,True,43.5
P333942_reverse,det_n,tune,11,11,0.8181818181818182,0.8181818181818182,0.24259410428425784,True,43.5
P333942_reverse,det,tune,11,10,0.7272727272727273,0.8,0.24259410428425784,False,43.5
P357347_reverse,dp,tune,10,10,0.9,0.9,0.0,True,59.0
P357347_reverse,comb,tune,10,10,0.9,0.9,0.061016949152542396,True,59.0
P357347_reverse,det_n,tune,10,10,0.4,0.4,0.2807340778501225,True,59.0
P357347_reverse,det,tune,10,7,0.3,0.42857142857142855,0.2807340778501225,False,59.0
P357395_obverse,dp,tune,12,12,1.0,1.0,0.0,True,48.0
P357395_obverse,comb,tune,12,12,1.0,1.0,0.0,True,48.0
P357395_obverse,det_n,tune,12,12,0.5,0.5,0.43998215694113396,True,48.0
P357395_obverse,det,tune,12,8,0.3333333333333333,0.5,0.43998215694113396,False,48.0
P357396_obverse,dp,test,9,9,1.0,1.0,0.0,True,53.5
P357396_obverse,comb,test,9,9,1.0,1.0,0.018691588785046728,True,53.5
P357396_obverse,det_n,test,9,9,0.6666666666666666,0.6666666666666666,1.6044073769791114,True,53.5
P357396_obverse,det,test,9,5,0.5555555555555556,1.0,1.6044073769791114,False,53.5
P357400_obverse,dp,test,4,4,0.75,0.75,0.46774193548387094,True,62.0
P357400_obverse,comb,test,4,4,0.75,0.75,0.482258064516129,True,62.0
P357400_obverse,det_n,test,4,4,0.25,0.25,1.4909232853160617,True,62.0
P357400_obverse,det,test,4,2,0.25,0.5,1.4909232853160617,False,62.0
P357407_obverse,dp,test,14,14,0.9285714285714286,0.9285714285714286,0.5079365079365079,True,63.0
P357407_obverse,comb,test,14,14,0.9285714285714286,0.9285714285714286,0.42857142857142855,True,63.0
P357407_obverse,det_n,test,14,14,0.6428571428571429,0.6428571428571429,1.9311283069420744,True,63.0
P357407_obverse,det,test,14,10,0.5,0.7,1.9311283069420744,False,63.0
P357496_reverse,dp,tune,9,9,1.0,1.0,0.0,True,52.5
P357496_reverse,comb,tune,9,9,1.0,1.0,0.31809523809523815,True,52.5
P357496_reverse,det_n,tune,9,9,0.5555555555555556,0.5555555555555556,0.43094308891809113,True,52.5
P357496_reverse,det,tune,9,8,0.4444444444444444,0.5,0.43094308891809113,False,52.5
P357520_reverse,dp,test,10,10,1.0,1.0,0.0,True,41.0
P357520_reverse,comb,test,10,10,0.8,0.8,0.926829268292683,True,41.0
P357520_reverse,det_n,test,10,10,0.6,0.6,0.544279762271052,True,41.0
P357520_reverse,det,test,10,9,0.5,0.5555555555555556,0.544279762271052,False,41.0
P357545_reverse,dp,tune,10,11,0.8,0.7272727272727273,0.34071550255536626,False,58.7
P357545_reverse,comb,tune,10,11,0.8,0.7272727272727273,0.32367972742759793,False,58.7
P357545_reverse,det_n,tune,10,11,0.3,0.2727272727272727,1.3737054405384084,False,58.7
P357545_reverse,det,tune,10,8,0.3,0.375,1.3737054405384084,False,58.7
P357585_obverse,dp,tune,13,13,1.0,1.0,0.0,True,47.5
P357585_obverse,comb,tune,13,13,1.0,1.0,0.26947368421052625,True,47.5
P357585_obverse,det_n,tune,13,13,0.38461538461538464,0.38461538461538464,1.5584656147608693,True,47.5
P357585_obverse,det,tune,13,9,0.3076923076923077,0.4444444444444444,1.5584656147608693,False,47.5
P357596_obverse,dp,test,12,13,0.9166666666666666,0.8461538461538461,0.4,False,50.0
P357596_obverse,comb,test,12,13,0.9166666666666666,0.8461538461538461,0.4,False,50.0
P357596_obverse,det_n,test,12,13,0.5,0.46153846153846156,2.6770392249211397,False,50.0
P357596_obverse,det,test,12,6,0.25,0.5,2.6770392249211397,False,50.0
P357597_obverse,dp,tune,14,17,1.0,0.8235294117647058,0.09259259259259259,False,54.0
P357597_obverse,comb,tune,14,17,1.0,0.8235294117647058,0.018518518518518517,False,54.0
P357597_obverse,det_n,tune,14,17,0.7142857142857143,0.5882352941176471,1.516138133835514,False,54.0
P357597_obverse,det,tune,14,10,0.5,0.7,1.516138133835514,False,54.0
P357611_obverse,dp,test,7,7,1.0,1.0,0.20512820512820512,True,58.5
P357611_obverse,comb,test,7,7,0.8571428571428571,0.8571428571428571,0.20512820512820512,True,58.5
P357611_obverse,det_n,test,7,7,0.0,0.0,4.581746260675855,True,58.5
P357611_obverse,det,test,7,2,0.0,0.0,4.581746260675855,False,58.5
P357767_obverse,dp,tune,7,7,1.0,1.0,0.25742574257425743,True,50.5
P357767_obverse,comb,tune,7,7,1.0,1.0,0.27722772277227725,True,50.5
P357767_obverse,det_n,tune,7,7,0.14285714285714285,0.14285714285714285,1.7368295256482749,True,50.5
P357767_obverse,det,tune,7,5,0.14285714285714285,0.2,1.7368295256482749,False,50.5
P357931_reverse,dp,test,12,12,1.0,1.0,0.0,True,66.0
P357931_reverse,comb,test,12,12,0.6666666666666666,0.6666666666666666,0.3833333333333333,True,66.0
P357931_reverse,det_n,test,12,12,0.6666666666666666,0.6666666666666666,0.22044319904479845,True,66.0
P357931_reverse,det,test,12,9,0.5833333333333334,0.7777777777777778,0.22044319904479845,False,66.0
P357936_obverse,dp,tune,12,13,0.9166666666666666,0.8461538461538461,0.0,False,83.10000000000002
P357936_obverse,comb,tune,12,13,0.8333333333333334,0.7692307692307693,0.27677496991576406,False,83.10000000000002
P357936_obverse,det_n,tune,12,13,0.75,0.6923076923076923,0.9320979775011491,False,83.10000000000002
P357936_obverse,det,tune,12,8,0.5833333333333334,0.875,0.9320979775011491,False,83.10000000000002
P357943_obverse,dp,tune,10,10,1.0,1.0,0.25609756097560976,True,82.0
P357943_obverse,comb,tune,10,10,0.9,0.9,0.18292682926829268,True,82.0
P357943_obverse,det_n,tune,10,10,0.2,0.2,1.363468974186527,True,82.0
P357943_obverse,det,tune,10,9,0.2,0.2222222222222222,1.363468974186527,False,82.0
P357977_reverse,dp,tune,4,5,0.25,0.2,0.7627118644067796,False,59.0
P357977_reverse,comb,tune,4,5,0.5,0.4,0.7796610169491526,False,59.0
P357977_reverse,det_n,tune,4,5,0.5,0.4,0.11265949827818834,False,59.0
P357977_reverse,det,tune,4,2,0.25,0.5,0.11265949827818834,False,59.0
P358199_reverse,dp,test,9,11,0.6666666666666666,0.5454545454545454,1.2242857142857144,False,70.0
P358199_reverse,comb,test,9,11,0.6666666666666666,0.5454545454545454,0.28428571428571425,False,70.0
P358199_reverse,det_n,test,9,11,0.2222222222222222,0.18181818181818182,0.6231055572697278,False,70.0
P358199_reverse,det,test,9,9,0.2222222222222222,0.2222222222222222,0.6231055572697278,True,70.0
P358200_obverse,dp,tune,7,7,1.0,1.0,0.0,True,65.5
P358200_obverse,comb,tune,7,7,1.0,1.0,0.0,True,65.5
P358200_obverse,det_n,tune,7,7,0.42857142857142855,0.42857142857142855,1.3893355791950825,True,65.5
P358200_obverse,det,tune,7,5,0.42857142857142855,0.6,1.3893355791950825,False,65.5
P358200_reverse,dp,test,6,8,0.8333333333333334,0.625,0.47692307692307695,False,65.0
P358200_reverse,comb,test,6,8,0.6666666666666666,0.5,0.44923076923076927,False,65.0
P358200_reverse,det_n,test,6,8,0.5,0.375,1.4673282294487733,False,65.0
P358200_reverse,det,test,6,4,0.3333333333333333,0.5,1.4673282294487733,False,65.0
P358213_reverse,dp,test,10,10,1.0,1.0,0.0,True,50.0
P358213_reverse,comb,test,10,10,1.0,1.0,0.08,True,50.0
P358213_reverse,det_n,test,10,10,0.6,0.6,3.3371710697898176,True,50.0
P358213_reverse,det,test,10,6,0.5,0.8333333333333334,3.3371710697898176,False,50.0
P358216_obverse,dp,tune,9,11,0.7777777777777778,0.6363636363636364,1.1935483870967742,False,62.0
P358216_obverse,comb,tune,9,11,0.6666666666666666,0.5454545454545454,0.08064516129032258,False,62.0
P358216_obverse,det_n,tune,9,11,0.7777777777777778,0.6363636363636364,0.19790316903996452,False,62.0
P358216_obverse,det,tune,9,7,0.6666666666666666,0.8571428571428571,0.19790316903996452,False,62.0
P358241_reverse,dp,test,7,9,0.7142857142857143,0.5555555555555556,0.624,False,62.5
P358241_reverse,comb,test,7,9,0.5714285714285714,0.4444444444444444,0.019200000000000047,False,62.5
P358241_reverse,det_n,test,7,9,0.14285714285714285,0.1111111111111111,0.5220257787141529,False,62.5
P358241_reverse,det,test,7,5,0.2857142857142857,0.4,1.0067364359507263,False,62.5
P358246_obverse,dp,test,10,10,1.0,1.0,0.0,True,53.0
P358246_obverse,comb,test,10,10,1.0,1.0,0.018867924528301886,True,53.0
P358246_obverse,det_n,test,10,10,0.4,0.4,1.0058960624294364,True,53.0
P358246_obverse,det,test,10,6,0.3,0.5,1.4700152715468167,False,53.0
P358252_obverse,dp,test,7,7,1.0,1.0,0.0,True,53.5
P358252_obverse,comb,test,7,7,1.0,1.0,0.07476635514018691,True,53.5
P358252_obverse,det_n,test,7,7,0.42857142857142855,0.42857142857142855,1.3854332681636619,True,53.5
P358252_obverse,det,test,7,5,0.42857142857142855,0.6,1.3854332681636619,False,53.5
P358265_obverse,dp,test,6,6,1.0,1.0,0.0,True,66.0
P358265_obverse,comb,test,6,6,1.0,1.0,0.07575757575757576,True,66.0
P358265_obverse,det_n,test,6,6,0.3333333333333333,0.3333333333333333,0.4272844570634228,True,66.0
P358265_obverse,det,test,6,4,0.3333333333333333,0.5,0.4272844570634228,False,66.0
P358267_reverse,dp,tune,1,1,1.0,1.0,0.2245762711864407,True,236.0
P358267_reverse,comb,tune,1,1,1.0,1.0,0.2245762711864407,True,236.0
P358271_obverse,dp,tune,5,5,1.0,1.0,0.192,True,62.5
P358271_obverse,comb,tune,5,5,1.0,1.0,0.128,True,62.5
P358271_obverse,det_n,tune,5,5,0.4,0.4,2.622310623612443,True,62.5
P358271_obverse,det,tune,5,2,0.4,1.0,2.622310623612443,False,62.5
P358445_reverse,dp,tune,6,6,0.5,0.5,0.11666666666666667,True,60.0
P358445_reverse,comb,tune,6,6,0.3333333333333333,0.3333333333333333,0.15,True,60.0
P358445_reverse,det_n,tune,6,6,0.0,0.0,0.5774838039556491,True,60.0
P358445_reverse,det,tune,6,6,0.0,0.0,0.5774838039556491,True,60.0
P358521_obverse,dp,test,12,13,0.75,0.6923076923076923,0.0,False,39.0
P358521_obverse,comb,test,12,13,0.5833333333333334,0.5384615384615384,0.02564102564102564,False,39.0
P358521_obverse,det_n,test,12,13,0.16666666666666666,0.15384615384615385,0.23881643251982337,False,39.0
P358521_obverse,det,test,12,13,0.16666666666666666,0.15384615384615385,0.23881643251982337,False,39.0
P359044_obverse,dp,tune,10,11,0.9,0.8181818181818182,0.3620689655172414,False,58.0
P359044_obverse,comb,tune,10,11,0.9,0.8181818181818182,0.7413793103448276,False,58.0
P359044_obverse,det_n,tune,10,11,0.3,0.2727272727272727,0.8862124006719813,False,58.0
P359044_obverse,det,tune,10,9,0.2,0.2222222222222222,0.8862124006719813,False,58.0
P359063_reverse,dp,tune,8,11,0.625,0.45454545454545453,6.283783783783784,False,74.0
P359063_reverse,comb,tune,8,11,0.5,0.36363636363636365,6.5675675675675675,False,74.0
P359063_reverse,det_n,tune,8,11,0.625,0.45454545454545453,3.0892168555322135,False,74.0
P359063_reverse,det,tune,8,4,0.5,1.0,3.0892168555322135,False,74.0
P359066_obverse,dp,test,22,25,0.5909090909090909,0.52,1.0,False,55.0
P359066_obverse,comb,test,22,25,0.5454545454545454,0.48,0.5272727272727272,False,55.0
P359066_obverse,det_n,test,22,25,0.7272727272727273,0.64,1.5572553329234027,False,55.0
P359066_obverse,det,test,22,17,0.5,0.6470588235294118,1.5572553329234027,False,55.0
P359071_reverse,dp,test,3,19,1.0,0.15789473684210525,2.0589285714285714,False,56.0
P359071_reverse,comb,test,3,19,0.3333333333333333,0.05263157894736842,3.1839285714285714,False,56.0
P359071_reverse,det_n,test,3,19,0.6666666666666666,0.10526315789473684,0.2532014388196769,False,56.0
P359071_reverse,det,test,3,2,0.6666666666666666,1.0,0.2532014388196769,False,56.0
P359077_reverse,dp,test,14,15,0.9285714285714286,0.8666666666666667,0.2222222222222222,False,81.0
P359077_reverse,comb,test,14,15,0.8571428571428571,0.8,0.5061728395061729,False,81.0
P359077_reverse,det_n,test,14,15,0.2857142857142857,0.26666666666666666,0.43340982930926364,False,81.0
P359077_reverse,det,test,14,13,0.21428571428571427,0.23076923076923078,0.43340982930926364,False,81.0
P359089_obverse,dp,tune,10,10,0.5,0.5,1.3330550918196986,True,119.80000000000007
P359089_obverse,comb,tune,10,10,0.5,0.5,0.6744574290484137,True,119.80000000000007
P359089_obverse,det_n,tune,10,10,0.1,0.1,0.5283898412580945,True,119.80000000000007
P359089_obverse,det,tune,10,9,0.1,0.1111111111111111,0.5283898412580945,False,119.80000000000007
P359095_obverse,dp,test,14,14,0.9285714285714286,0.9285714285714286,0.0,True,79.9
P359095_obverse,comb,test,14,14,0.7857142857142857,0.7857142857142857,0.035043804755944936,True,79.9
P359095_obverse,det_n,test,14,14,0.35714285714285715,0.35714285714285715,0.3768019241164957,True,79.9
P359095_obverse,det,test,14,8,0.14285714285714285,0.25,0.3768019241164957,False,79.9
P359100_reverse,dp,tune,12,12,1.0,1.0,0.22727272727272727,True,99.0
P359100_reverse,comb,tune,12,12,1.0,1.0,0.1747474747474747,True,99.0
P359100_reverse,det_n,tune,12,12,0.5833333333333334,0.5833333333333334,1.1405771558466316,True,99.0
P359100_reverse,det,tune,12,10,0.5,0.6,1.3496601033964128,False,99.0
P359106_obverse,dp,tune,8,10,0.875,0.7,0.1360182370820669,False,131.60000000000002
P359106_obverse,comb,tune,8,10,0.75,0.6,0.5782674772036472,False,131.60000000000002
P359106_obverse,det_n,tune,8,10,0.125,0.1,0.484020182335207,False,131.60000000000002
P359106_obverse,det,tune,8,9,0.125,0.1111111111111111,0.484020182335207,False,131.60000000000002
P359120_reverse,dp,test,8,9,0.625,0.5555555555555556,0.8975265017667845,False,141.5
P359120_reverse,comb,test,8,9,0.625,0.5555555555555556,0.21272084805653707,False,141.5
P359120_reverse,det_n,test,8,9,0.5,0.4444444444444444,0.2795986303175774,False,141.5
P359120_reverse,det,test,8,7,0.5,0.5714285714285714,0.2795986303175774,False,141.5
P359125_reverse,dp,tune,15,18,1.0,0.8333333333333334,0.0,False,69.5
P359125_reverse,comb,tune,15,18,0.9333333333333333,0.7777777777777778,0.04316546762589928,False,69.5
P359125_reverse,det_n,tune,15,18,0.4,0.3333333333333333,0.6206731424118566,False,69.5
P359125_reverse,det,tune,15,16,0.4,0.375,0.6206731424118566,False,69.5
P359137_reverse,dp,tune,7,10,0.8571428571428571,0.6,0.010427528675703856,False,143.85000000000002
P359137_reverse,comb,tune,7,10,0.7142857142857143,0.5,0.6638859923531455,False,143.85000000000002
P359137_reverse,det_n,tune,7,10,0.5714285714285714,0.4,0.21715427388646605,False,143.85000000000002
P359137_reverse,det,tune,7,5,0.2857142857142857,0.4,0.21715427388646605,False,143.85000000000002
P359158_reverse,dp,test,2,6,1.0,0.3333333333333333,0.9341880341880343,False,117.0
P359158_reverse,comb,test,2,6,1.0,0.3333333333333333,0.9170940170940172,False,117.0
P359167_reverse,dp,tune,3,10,1.0,0.3,0.7898876404494382,False,89.0
P359167_reverse,comb,tune,3,10,1.0,0.3,0.8123595505617978,False,89.0
P359167_reverse,det_n,tune,3,10,0.0,0.0,1.5417544755209178,False,89.0
P359167_reverse,det,tune,3,1,0.0,0.0,1.5417544755209178,False,89.0
P359171_reverse,dp,test,5,5,0.8,0.8,0.9747747747747747,True,111.0
P359171_reverse,comb,test,5,5,0.8,0.8,0.8936936936936936,True,111.0
P359171_reverse,det_n,test,5,5,0.2,0.2,0.49722249817360675,True,111.0
P359171_reverse,det,test,5,5,0.2,0.2,0.49722249817360675,True,111.0
P359174_reverse,dp,test,10,14,0.8,0.5714285714285714,0.28808593750000006,False,102.39999999999998
P359174_reverse,comb,test,10,14,0.7,0.5,0.3759765625000001,False,102.39999999999998
P359174_reverse,det_n,test,10,14,0.4,0.2857142857142857,0.511135232549763,False,102.39999999999998
P359174_reverse,det,test,10,7,0.2,0.2857142857142857,0.511135232549763,False,102.39999999999998
P359179_reverse,dp,tune,6,7,0.8333333333333334,0.7142857142857143,0.42302158273381285,False,139.00000000000006
P359179_reverse,comb,tune,6,7,1.0,0.8571428571428571,0.3366906474820143,False,139.00000000000006
P359179_reverse,det_n,tune,6,7,0.6666666666666666,0.5714285714285714,0.24233340425633865,False,139.00000000000006
P359179_reverse,det,tune,6,3,0.3333333333333333,0.6666666666666666,0.24233340425633865,False,139.00000000000006
P359180_reverse,dp,test,11,13,0.9090909090909091,0.7692307692307693,0.19175027870680034,False,89.69999999999999
P359180_reverse,comb,test,11,13,0.9090909090909091,0.7692307692307693,1.1114827201783724,False,89.69999999999999
P359180_reverse,det_n,test,11,13,0.7272727272727273,0.6153846153846154,0.5099480715348438,False,89.69999999999999
P359180_reverse,det,test,11,8,0.36363636363636365,0.5,0.5099480715348438,False,89.69999999999999
P359232_reverse,dp,test,4,4,1.0,1.0,0.15086562242374274,True,242.60000000000002
P359232_reverse,comb,test,4,4,1.0,1.0,0.13437757625721347,True,242.60000000000002
P359232_reverse,det_n,test,4,4,0.75,0.75,0.38998349215026795,True,242.60000000000002
P359232_reverse,det,test,4,3,0.5,0.6666666666666666,0.38998349215026795,False,242.60000000000002
P359262_reverse,dp,tune,6,6,1.0,1.0,0.098119378577269,True,122.30000000000001
P359262_reverse,comb,tune,6,6,0.8333333333333334,0.8333333333333334,0.9321340964840555,True,122.30000000000001
P359262_reverse,det_n,tune,6,6,0.0,0.0,0.6365099028904837,True,122.30000000000001
P359262_reverse,det,tune,6,6,0.0,0.0,0.6365099028904837,True,122.30000000000001
P359266_obverse,dp,tune,7,7,0.8571428571428571,0.8571428571428571,0.5887016848364718,True,151.35
P359266_obverse,comb,tune,7,7,0.8571428571428571,0.8571428571428571,0.590023125206475,True,151.35
P359266_obverse,det_n,tune,7,7,0.5714285714285714,0.5714285714285714,0.7882431235241092,True,151.35
P359266_obverse,det,tune,7,5,0.5714285714285714,0.8,1.4509444597276289,False,151.35
P359272_reverse,dp,tune,13,13,0.8461538461538461,0.8461538461538461,0.06092916984006092,True,65.65
P359272_reverse,comb,tune,13,13,0.7692307692307693,0.7692307692307693,0.12185833968012184,True,65.65
P359272_reverse,det_n,tune,13,13,0.6153846153846154,0.6153846153846154,0.3487617258438208,True,65.65
P359272_reverse,det,tune,13,12,0.6153846153846154,0.6666666666666666,0.3487617258438208,False,65.65
P359288_reverse,dp,test,12,12,1.0,1.0,0.23564356435643566,True,101.0
P359288_reverse,comb,test,12,12,1.0,1.0,0.22574257425742575,True,101.0
P359288_reverse,det_n,test,12,12,0.25,0.25,0.554227330502599,True,101.0
P359288_reverse,det,test,12,9,0.16666666666666666,0.2222222222222222,1.510799194717227,False,101.0
P359309_obverse,dp,test,2,13,1.0,0.15384615384615385,0.30135135135135127,False,74.00000000000001
P359309_obverse,comb,test,2,13,1.0,0.15384615384615385,1.0851351351351348,False,74.00000000000001
P359314_obverse,dp,tune,11,13,0.9090909090909091,0.7692307692307693,1.5779141104294478,False,81.5
P359314_obverse,comb,tune,11,13,0.9090909090909091,0.7692307692307693,1.6687116564417177,False,81.5
P359314_obverse,det_n,tune,11,13,0.09090909090909091,0.07692307692307693,2.6629164770164375,False,81.5
P359314_obverse,det,tune,11,7,0.09090909090909091,0.14285714285714285,2.6629164770164375,False,81.5
P359318_reverse,dp,test,1,1,1.0,1.0,0.0,True,1150.0
P359318_reverse,comb,test,1,1,1.0,1.0,0.0,True,1150.0
P359344_reverse,dp,tune,2,13,0.5,0.07692307692307693,0.7563492063492062,False,126.00000000000001
P359344_reverse,comb,tune,2,13,0.5,0.07692307692307693,0.7563492063492062,False,126.00000000000001
