face_id,split,status,line_no,y_face_deskewed,skew_deg,src
P260352_obverse,test,done,1,149.0,-1.5,start
P260352_obverse,test,done,2,234.1,-1.5,start
P260352_obverse,test,done,3,325.0,-1.5,start
P260352_obverse,test,done,4,414.0,-1.5,start
P260352_obverse,test,done,5,504.0,-1.5,start
P260352_obverse,test,done,6,591.0,-1.5,start
P260352_obverse,test,done,7,679.0,-1.5,start
P260364_reverse,test,done,1,83.0,-3.5,manual
P260364_reverse,test,done,2,179.0,-3.5,start
P260364_reverse,test,done,3,232.7,-3.5,manual
P260364_reverse,test,done,4,296.8,-3.5,manual
P260364_reverse,test,done,5,371.5,-3.5,manual
P260364_reverse,test,done,6,443.8,-3.5,manual
P260364_reverse,test,done,7,521.7,-3.5,manual
P260364_reverse,test,done,8,591.0,-3.5,start
P260364_reverse,test,done,9,655.7,-3.5,manual
P260364_reverse,test,done,10,728.0,-3.5,start
P260364_reverse,test,done,11,791.6,-3.5,manual
P260364_reverse,test,done,12,863.8,-3.5,manual
P260364_reverse,test,done,13,924.1,-3.5,manual
P260364_reverse,test,done,14,1005.0,-3.5,start
P260364_reverse,test,done,15,1070.1,-3.5,manual
P260364_reverse,test,done,16,1143.9,-3.5,manual
P333883_obverse,test,done,1,75.0,-10,manual
P333883_obverse,test,done,2,134.0,-10,manual
P333883_obverse,test,done,3,195.0,-10,manual
P333883_obverse,test,done,4,256.0,-10,manual
P333883_obverse,test,done,5,320.0,-10,start
P333883_obverse,test,done,6,375.0,-10,manual
P333883_obverse,test,done,7,437.0,-10,start
P333883_obverse,test,done,8,484.0,-10,manual
P333883_obverse,test,done,9,549.0,-10,start
P333883_obverse,test,done,10,590.0,-10,start
P333883_obverse,test,done,11,642.0,-10,manual
P333883_obverse,test,done,12,694.0,-10,manual
P333883_obverse,test,done,13,745.0,-10,start
P333883_obverse,test,done,14,796.0,-10,manual
P333883_obverse,test,done,15,858.0,-10,start
P333917_reverse,tune,done,1,90.0,-2,start
P333917_reverse,tune,done,2,133.0,-2,start
P333917_reverse,tune,done,3,175.0,-2,start
P333917_reverse,tune,done,4,215.0,-2,start
P333917_reverse,tune,done,5,256.0,-2,start
P333917_reverse,tune,done,6,300.0,-2,start
P333917_reverse,tune,done,7,344.0,-2,start
P333917_reverse,tune,done,8,390.0,-2,start
P333917_reverse,tune,done,9,436.0,-2,start
P333917_reverse,tune,done,10,482.0,-2,start
P333917_reverse,tune,done,11,525.0,-2,start
P333917_reverse,tune,done,12,568.0,-2,start
P333917_reverse,tune,done,13,609.0,-2,start
P333917_reverse,tune,done,14,649.0,-2,start
P333917_reverse,tune,done,15,692.0,-2,start
P333917_reverse,tune,done,16,734.0,-2,start
P333939_obverse,tune,done,1,0.0,-4.5,manual
P333939_obverse,tune,done,2,70.0,-4.5,start
P333939_obverse,tune,done,3,121.0,-4.5,start
P333939_obverse,tune,done,4,173.0,-4.5,start
P333939_obverse,tune,done,5,225.0,-4.5,start
